,2016_sampleSize,2016_CI,2017_sampleSize,2017_CI,2018_sampleSize,2018_CI,2019_sampleSize,2019_CI,2020_sampleSize,2020_CI,Overall_2020_CI,Geo,newStatVar,SV
1,942,43.4 (39.5-47.4),844.0,43.5 (39.1-48.0),775.0,50.2 (45.4-54.9),757.0,46.0 (41.3-50.8),,,43.6 (42.9-44.4),New York,Nutrition__Multivitamin use ≥4 times a week during the month before pregnancy,MultivitaminUseMoreThan4TimesAWeek
3,894,3.7 (2.4-5.7),812.0,2.8 (1.5-5.1),733.0,1.7 (0.8-3.4),723.0,4.1 (2.4-6.9),,,3.2 (2.9-3.5),New York,Pre-pregnancy Weight__Underweight (body mass index [BMI] <18.5 kg/m2),Underweight
4,894,26.4 (22.9-30.1),812.0,26.0 (22.1-30.4),733.0,26.9 (22.8-31.6),723.0,29.0 (24.8-33.6),,,26.1 (25.5-26.8),New York,Pre-pregnancy Weight__Overweight (BMI 25–29.9 kg/m2),Overweight
5,894,22.7 (19.4-26.3),812.0,27.4 (23.4-31.7),733.0,24.5 (20.5-28.9),723.0,27.2 (23.0-31.8),,,27.7 (27.0-28.4),New York,Pre-pregnancy Weight__Obese (BMI ≥30 kg/m2),Obese
8,932,17.2 (14.3-20.6),832.0,20.8 (17.2-24.9),763.0,15.1 (11.8-19.0),749.0,14.3 (11.2-18.0),,,14.0 (13.4-14.5),New York,Substance Use_Any cigarette smoking_During the 3 months before pregnancy,CigaretteSmoking3MonthsBeforePregnancy
9,929,8.1 (6.1-10.7),832.0,9.1 (6.7-12.2),767.0,6.1 (4.1-8.9),752.0,7.7 (5.5-10.7),,,6.5 (6.2-6.9),New York,Substance Use_Any cigarette smoking_During the last 3 months of pregnancy,CigaretteSmokingLast3MonthsOfPregnancy
10,930,11.5 (9.0-14.4),832.0,12.4 (9.6-15.8),765.0,10.0 (7.3-13.5),753.0,8.8 (6.4-12.1),,,8.8 (8.3-9.2),New York,Substance Use_Any cigarette smoking_Postpartum,CigaretteSmokingPostpartum
12,927,2.4 (1.4-4.0),826.0,4.0 (2.5-6.3),764.0,4.7 (3.0-7.3),744.0,6.1 (4.3-8.7),,,5.2 (4.9-5.6),New York,Substance Use_Any e-cigarette use_During the 3 months before pregnancy,ECigaretteSmoking3MonthsBeforePregnancy
13,928,1.1 (0.5-2.5),826.0,0.8 (0.4-1.8),763.0,1.7 (0.8-3.9),744.0,2.3 (1.3-4.2),,,1.5 (1.3-1.7),New York,Substance Use_Any e-cigarette use_During the last 3 months of pregnancy,ECigaretteSmokingLast3MonthsOfPregnancy
14,923,4.1 (2.8-6.2),818.0,4.4 (2.7-7.1),756.0,2.4 (1.3-4.2),736.0,5.0 (3.1-7.8),,,4.4 (4.1-4.8),New York,Substance Use__Hookah use in the last 2 years,HookahInLast2Years
15,933,2.3 (1.4-3.8),836.0,2.8 (1.6-4.8),766.0,1.6 (0.9-2.9),755.0,2.1 (1.0-4.2),,,3.0 (2.8-3.3),New York,Substance Use__Heavy drinking (≥8 drinks a week) during the 3 months before pregnancy,HeavyDrinking3MonthsBeforePregnancy
17,941,3.4 (2.2-5.3),835.0,3.2 (1.9-5.4),761.0,2.5 (1.3-4.8),757.0,3.6 (2.0-6.3),,,2.5 (2.3-2.8,New York,Intimate Partner Violence (IPV)¥__Experienced IPV during the 12 months before pregnancy by a husband or partner and/or by an ex-husband or ex-partner,IntimatePartnerViolenceByCurrentOrExPartnerOrCurrentOrExHusband12MonthsBeforePregnancy
18,938,3.4 (2.2-5.4),833.0,1.9 (1.0-3.4),763.0,1.4 (0.7-2.7),756.0,1.7 (0.7-3.9),,,1.7 (1.5-1.9),New York,Intimate Partner Violence (IPV)¥__Experienced IPV during pregnancy by a husband or partner and/or by an ex-husband or ex-partner,IntimatePartnerViolenceByCurrentOrExPartnerOrCurrentOrExHusbandDuringPregnancy
20,937,16.3 (13.5-19.6),840.0,13.7 (10.9-17.1),764.0,14.7 (11.5-18.5),747.0,17.9 (14.3-22.2),,,15.5 (15.0-16.1),New York,Depression__Self-reported depression in the 3 months before pregnancy,CDC_SelfReportedDepression3MonthsBeforePregnancy
21,928,12.5 (10.0-15.5),828.0,9.8 (7.5-12.7),764.0,14.2 (11.1-18.1),746.0,15.6 (12.1-19.8),,,15.2 (14.7-15.8),New York,Depression__Self-reported depression during pregnancy,CDC_SelfReportedDepressionDuringPregnancy
22,926,12.6 (10.1-15.6),830.0,12.7 (10.0-16.1),751.0,11.1 (8.4-14.5),745.0,13.2 (10.1-17.0),,,13.4 (12.9-13.9),New York,Depression__Self-reported postpartum depressive symptoms**,CDC_SelfReportedDepressionPostpartum
24,934,74.6 (70.8-78.1),838.0,76.4 (72.2-80.2),766.0,76.6 (72.2-80.6),749.0,74.4 (69.7-78.6),,,66.0 (65.3-66.8),New York,Health Care Services__Health care visit in the 12 months before pregnancy,HealthCareVisit12MonthsBeforePregnancy
25,929,89.3 (86.4-91.7),822.0,89.3 (85.8-92.0),754.0,91.8 (88.6-94.2),749.0,91.2 (87.9-93.6),,,87.1 (86.5-87.6),New York,Health Care Services__Began prenatal care in 1st trimester,PrenatalCareInFirstTrimester
26,927,60.3 (56.3-64.2),835.0,61.4 (56.8-65.8),756.0,56.5 (51.6-61.2),744.0,64.3 (59.5-68.8),,,60.9 (60.1-61.7),New York,Health Care Services__Had a flu shot in the 12 months before delivery,FluShot12MonthsBeforePregnancy
27,934,88.2 (85.2-90.7),840.0,89.9 (86.5-92.5),764.0,92.4 (89.3-94.7),755.0,91.2 (87.7-93.7),,,88.1 (87.6-88.6),New York,Health Care Services__Had maternal postpartum checkup,MaternalCheckupPostpartum
29,939,18.3 (15.4-21.7),837.0,16.3 (13.1-20.1),761.0,18.4 (14.9-22.6),742.0,13.1 (10.0-17.1),,,17.7 (17.2-18.4),New York,Pregnancy Intention__Mistimed,MistimedPregnancy
30,939,5.2 (3.6-7.4),837.0,3.7 (2.3-6.0),761.0,3.8 (2.4-6.2),742.0,7.8 (5.5-11.1),,,6.3 (6.0-6.7),New York,Pregnancy Intention__Unwanted pregnancy,UnwantedPregnancy
31,939,13.6 (11.1-16.7),837.0,16.6 (13.4-20.4),761.0,16.5 (13.1-20.5),742.0,12.5 (9.7-16.1),,,15.5 (15.0-16.1),New York,Pregnancy Intention__Unsure whether wanted pregnancy,UnsureIfWantedPregnancy
32,939,62.8 (58.8-66.6),837.0,63.4 (58.8-67.7),761.0,61.3 (56.4-65.9),742.0,66.5 (61.7-71.0),,,60.4 (59.6-61.1),New York,Pregnancy Intention__Intended pregnancy,IntendedPregnancy
34,916,74.5 (70.9-77.9),828.0,69.0 (64.6-73.1),750.0,71.4 (66.8-75.6),746.0,72.0 (67.5-76.1),,,74.5 (73.9-75.2),New York,Postpartum†† Family Planning__Use of any postpartum contraception††‡‡,AnyPostpartumFamilyPlanning
36,916,11.4 (9.0-14.4),828.0,8.5 (6.3-11.4),750.0,10.0 (7.5-13.2),746.0,9.8 (7.3-13.1),,,10.9 (10.4-11.4),New York,Postpartum†† Family Planning_Highly effective contraceptive methods_Male or female sterilization,MaleOrFemaleSterilization
37,916,13.5 (10.9-16.6),828.0,12.6 (9.8-16.1),750.0,16.8 (13.5-20.7),746.0,15.6 (12.3-19.6),,,16.7 (16.1-17.3),New York,Postpartum†† Family Planning_Highly effective contraceptive methods_Long-acting reversible contraceptive method§§,LongActingReversibleContraceptiveMethods
38,916,24.1 (20.8-27.8),828.0,25.3 (21.5-29.4),750.0,23.3 (19.3-27.7),746.0,22.6 (18.8-26.9),,,24.5 (23.9-25.2),New York,Postpartum†† Family Planning__Moderately effective contraceptive methods§§,ModeratelyEffectiveContraceptiveMethods
39,916,25.5 (22.2-29.2),828.0,22.6 (19.0-26.6),750.0,21.4 (17.8-25.6),746.0,24.0 (20.3-28.3),,,22.4 (21.8-23.1),New York,Postpartum†† Family Planning__Least effective contraceptive methods§§,LeastEffectiveContraceptiveMethods
41,942,51.2 (47.2-55.2),841.0,48.0 (43.4-52.5),769.0,55.4 (50.6-60.2),757.0,48.9 (44.1-53.7),,,40.0 (39.3-40.8),New York,Oral Health__Teeth cleaned during pregnancy by a dentist or dental hygienist,TeethCleanedByDentistOrHygienistDuringPregnancy
43,915,63.8 (59.7-67.7),814.0,72.9 (68.5-76.9),751.0,70.8 (65.9-75.2),737.0,68.1 (63.1-72.7),,,61.8 (61.0-62.5),New York,Health Insurance Status One Month Before Pregnancy¶¶__Private insurance,healthInsuranceStatusOneMonthBeforePregnancyprivateinsurance
44,915,23.5 (20.2-27.3),814.0,17.8 (14.6-21.6),751.0,19.6 (15.9-24.0),737.0,23.9 (19.7-28.7),,,23.5 (22.9-24.1),New York,Health Insurance Status One Month Before Pregnancy¶¶__Medicaid,healthInsuranceStatusOneMonthBeforePregnancyMedicaid
45,915,10.8 (8.4-13.8),814.0,7.0 (4.8-10.2),751.0,8.2 (5.6-11.7),737.0,7.3 (4.9-10.5),,,14.0 (13.4-14.5),New York,Health Insurance Status One Month Before Pregnancy¶¶__No insurance,healthInsuranceStatusOneMonthBeforePregnancyNoInsurance
47,911,64.0 (59.9-67.9),811.0,72.3 (67.8-76.4),737.0,67.3 (62.3-71.9),729.0,66.4 (61.4-71.1),,,59.6 (58.8-60.3),New York,Health Insurance Status for Prenatal Care¶¶__Private insurance,healthInsuranceStatusForPrenatalCareprivateinsurance
48,911,33.0 (29.2-37.1),811.0,24.5 (20.6-28.8),737.0,29.6 (25.1-34.6),729.0,32.4 (27.7-37.4),,,36.6 (35.8-37.3),New York,Health Insurance Status for Prenatal Care¶¶__Medicaid,healthInsuranceStatusForPrenatalCareMedicaid
