SV,time,geo,observation
Count_Person_EducationalAttainmentLessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentLessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male,2014,BE,5.3
Count_Person_EducationalAttainmentLessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentLessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Total,2014,BE,3.5
Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female,2014,BE,4.8
Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male,2014,BE,4.8
Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Total,2014,BE,4.8
Count_Person_EducationalAttainmentTertiaryEducation_Female_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentTertiaryEducation_Female,2014,BE,4.6
Count_Person_EducationalAttainmentTertiaryEducation_Male_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentTertiaryEducation_Male,2014,BE,3.1
Count_Person_EducationalAttainmentTertiaryEducation_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentTertiaryEducation_Total,2014,BE,3.9
Count_Person_Total_Female_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Female,2014,BE,3.7
Count_Person_Total_Male_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Male,2014,BE,4.3
Count_Person_Total_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_Total_Total,2014,BE,4.0
Count_Person_EducationalAttainmentLessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentLessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male,2014,BG,3.2 
Count_Person_EducationalAttainmentLessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentLessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Total,2014,BG,1.7 
Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female,2014,BG,1.1 
Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male,2014,BG,2.8 
Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Total_HazardousAlcoholConsumption_AsAFractionOf_Count_Person_EducationalAttainmentUpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Total,2014,BG,2.0 
