name,dcid
"Abha, SA",wikidataId/Q190948
"Abidjan, CI",wikidataId/Q19830972
"Abu Dhabi, AE",wikidataId/Q1519
"Accra, GH",wikidataId/Q3761
"Adana, TR",wikidataId/Q38545
"Adapazarı, TR",wikidataId/Q175323
"Addis Ababa, ET",wikidataId/Q3624
"Adelaide, AU",wikidataId/Q5112
"Aguascalientes, MX",wikidataId/Q200805
"Akita, JP",wikidataId/Q17139
"Albuquerque, US",geoId/3502000
"Algiers, DZ",wikidataId/Q3561
"Almaty, KZ",wikidataId/Q35493
"Alor Setar, MY",wikidataId/Q474868
"Amiens, FR",wikidataId/Q41604
"Amman, JO",wikidataId/Q3805
"Amsterdam, NL",wikidataId/Q727
"Andong, KR",wikidataId/Q42116
"Ankara, TR",wikidataId/Q3640
"Antakya, TR",wikidataId/Q80561
"Antwerpen, BE",wikidataId/Q12892
"Anyang, CN",wikidataId/Q324293
"Arad, RO",wikidataId/Q173591
"Arāk, IR",wikidataId/Q212628
"Ashdod, IL",wikidataId/Q171639
"Ashgabat, TM",wikidataId/Q23438
"Ashkelon, IL",wikidataId/Q60956
"Athens, GR",wikidataId/Q1524
"Atlanta, US",geoId/1304000
"Auckland, NZ",wikidataId/Q37100
"Augsburg, DE",nuts/DE271
"Austin, US",geoId/4805000
"Bacău, RO",wikidataId/Q10737004
"Baghdad, IQ",wikidataId/Q1530
"Baguio, PH",wikidataId/Q1822
"Baia Mare, RO",wikidataId/Q185280
"Baltimore, US",geoId/2404000
"Balıkesir, TR",wikidataId/Q199723
"Bamako, ML",wikidataId/Q3703
"Bandar Abbas, IR",wikidataId/Q154814
"Bangkok, TH",wikidataId/Q1861
"Barcelona, ES",wikidataId/Q1492
"Beijing, CN",wikidataId/Q956
"Belfast, GB",wikidataId/Q10686
"Belgrade, RS",wikidataId/Q3711
"Bengaluru, IN",wikidataId/Q1355
"Bergen, NO",wikidataId/Q26793
"Berlin, DE",nuts/DE3
"Besançon, FR",wikidataId/Q37776
"Bhopal, IN",wikidataId/Q80989
"Bilbao, ES",wikidataId/Q8692
"Biratnagar, NP",wikidataId/Q8247
"Birmingham, GB",nuts/UKG31
"Bishkek, KG",wikidataId/Q9361
"Bloemfontein, ZA",wikidataId/Q37701
"Bogotá, CO",wikidataId/Q2841
"Boise, US",geoId/1608830
"Bologna, IT",wikidataId/Q1891
"Bordeaux, FR",wikidataId/Q1479
"Boston, US",geoId/2507000
"Bratislava, SK",wikidataId/Q1780
"Braşov, RO",wikidataId/Q82174
"Breda, NL",wikidataId/Q40844
"Brescia, IT",wikidataId/Q6221
"Brisbane, AU",wikidataId/Q34932
"Bristol, GB",nuts/UKK11
"Brno, CZ",wikidataId/Q14960
"Brooklyn, US",geoId/3604710022
"Brussels, BE",wikidataId/Q239
"Brăila, RO",wikidataId/Q188478
"Bucharest, RO",nuts/RO321
"Budapest, HU",nuts/HU101
"Buenos Aires, AR",wikidataId/Q1486
"Buraydah, SA",wikidataId/Q259253
"Burgas, BG",wikidataId/Q6509
"Burgos, ES",wikidataId/Q9580
"Bursa, TR",wikidataId/Q40738
"Busan, KR",wikidataId/Q16520
"Butuan, PH",wikidataId/Q1686
"Bydgoszcz, PL",wikidataId/Q41252
"Caen, FR",wikidataId/Q41185
"Calama, CL",wikidataId/Q3685
"Calgary, CA",wikidataId/Q36312
"Canberra, AU",wikidataId/Q3114
"Cape Town, ZA",wikidataId/Q5465
"Cardiff, GB",wikidataId/Q24342199
"Castelló de la Plana, ES",wikidataId/Q15092
"Chandigarh, IN",wikidataId/Q43433
"Changchun, CN",wikidataId/Q92161
"Changsha, CN",wikidataId/Q174091
"Changwon, KR",wikidataId/Q243327
"Changzhou, CN",wikidataId/Q57970
"Charleroi, BE",wikidataId/Q81046
"Charlotte, US",geoId/3712000
"Chelyabinsk, RU",wikidataId/Q906
"Chengdu, CN",wikidataId/Q30002
"Chennai, IN",wikidataId/Q1352
"Cheongju-si, KR",wikidataId/Q42147
"Chiang Mai, TH",wikidataId/Q52028
"Chiba, JP",wikidataId/Q170616
"Chicago, US",geoId/1714000
"Chihuahua, MX",wikidataId/Q61302
"Chillán, CL",wikidataId/Q3774
"Chon Buri, TH",wikidataId/Q207068
"Chongqing, CN",wikidataId/Q11725
"Christchurch, NZ",wikidataId/Q79990
"Chuncheon, KR",wikidataId/Q42148
"Clermont-Ferrand, FR",wikidataId/Q42168
"Cluj-Napoca, RO",wikidataId/Q100188
"Cochabamba, BO",wikidataId/Q183124
"Colombo, LK",wikidataId/Q35381
"Columbus, US",geoId/3918000
"Columbia, US",geoId/4516000
"Conakry, GN",wikidataId/Q3733
"Concepción, CL",wikidataId/Q1880
"Constanţa, RO",wikidataId/Q79808
"Copenhagen, DK",wikidataId/Q1748
"Coventry, GB",wikidataId/Q20986417
"Craiova, RO",wikidataId/Q168057
"Cuernavaca, MX",wikidataId/Q204245
"Córdoba, ES",wikidataId/Q5818
"Daegu, KR",wikidataId/Q20927
"Daejeon, KR",wikidataId/Q20921
"Dallas, US",geoId/4819000
"Dammam, SA",wikidataId/Q160320
"Darmstadt, DE",nuts/DE711
"Darwin, AU",wikidataId/Q11568
"Debrecen, HU",wikidataId/Q79880
"Delhi, IN",wikidataId/Q1353
"Denizli, TR",wikidataId/Q170967
"Denver, US",geoId/0820000
"Detroit, US",geoId/2622000
"Dhaka, BD",wikidataId/Q1354
"Dijon, FR",wikidataId/Q7003
"Dnipro, UA",wikidataId/Q48256
"Dongguan, CN",wikidataId/Q59218
"Donostia / San Sebastián, ES",geoId/7277500
"Dordrecht, NL",wikidataId/Q26421
"Douliu, TW",wikidataId/Q669566
"Dresden, DE",nuts/DED21
"Dubai, AE",wikidataId/Q612
"Dublin, IE",wikidataId/Q1761
"Dunedin, NZ",wikidataId/Q133073
"Durban, ZA",wikidataId/Q5468
"Dushanbe, TJ",wikidataId/Q9365
"Düsseldorf, DE",nuts/DEA11
"East London, ZA",wikidataId/Q209537
"Ecatepec de Morelos, MX",wikidataId/Q15121208
"Edinburgh, GB",nuts/UKM25
"Edmonton, CA",wikidataId/Q2096
"Eindhoven, NL",wikidataId/Q9832
"El Paso, US",geoId/4824000
"Erzurum, TR",wikidataId/Q122803
"Eskişehir, TR",wikidataId/Q168866
"Florence, IT",nuts/ITE14
"Fort Worth, US",geoId/4827000
"Foshan, CN",wikidataId/Q34412
