id	name	kind	sboTerm
group1	Acyl-CoA hydrolysis	partonomy	SBO:0000633
group2	Acylglycerides metabolism	partonomy	SBO:0000633
group3	Alanine, aspartate and glutamate metabolism	partonomy	SBO:0000633
group4	Alkaloids biosynthesis	partonomy	SBO:0000633
group5	Amino sugar and nucleotide sugar metabolism	partonomy	SBO:0000633
group6	Aminoacyl-tRNA biosynthesis	partonomy	SBO:0000633
group7	Androgen metabolism	partonomy	SBO:0000633
group8	Arachidonic acid metabolism	partonomy	SBO:0000633
group9	Arginine and proline metabolism	partonomy	SBO:0000633
group10	Artificial reactions	partonomy	SBO:0000633
group11	Ascorbate and aldarate metabolism	partonomy	SBO:0000633
group12	Beta oxidation of branched-chain fatty acids (mitochondrial)	partonomy	SBO:0000633
group13	Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)	partonomy	SBO:0000633
group14	Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)	partonomy	SBO:0000633
group15	Beta oxidation of even-chain fatty acids (mitochondrial)	partonomy	SBO:0000633
group16	Beta oxidation of even-chain fatty acids (peroxisomal)	partonomy	SBO:0000633
group17	Beta oxidation of odd-chain fatty acids (mitochondrial)	partonomy	SBO:0000633
group18	Beta oxidation of odd-chain fatty acids (peroxisomal)	partonomy	SBO:0000633
group19	Beta oxidation of phytanic acid (peroxisomal)	partonomy	SBO:0000633
group20	Beta oxidation of poly-unsaturated fatty acids (mitochondrial)	partonomy	SBO:0000633
group21	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)	partonomy	SBO:0000633
group22	Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal)	partonomy	SBO:0000633
group23	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)	partonomy	SBO:0000633
group24	Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)	partonomy	SBO:0000633
group25	Beta-alanine metabolism	partonomy	SBO:0000633
group26	Bile acid biosynthesis	partonomy	SBO:0000633
group27	Bile acid recycling	partonomy	SBO:0000633
group28	Biopterin metabolism	partonomy	SBO:0000633
group29	Biotin metabolism	partonomy	SBO:0000633
group30	Blood group biosynthesis	partonomy	SBO:0000633
group31	Butanoate metabolism	partonomy	SBO:0000633
group32	C5-branched dibasic acid metabolism	partonomy	SBO:0000633
group33	Carnitine shuttle (cytosolic)	partonomy	SBO:0000633
group34	Carnitine shuttle (endoplasmic reticular)	partonomy	SBO:0000633
group35	Carnitine shuttle (mitochondrial)	partonomy	SBO:0000633
group36	Carnitine shuttle (peroxisomal)	partonomy	SBO:0000633
group37	Cholesterol biosynthesis 1 (Bloch pathway) 	partonomy	SBO:0000633
group38	Cholesterol biosynthesis 2	partonomy	SBO:0000633
