,PubChem ID,ChEMBL ID
0,,
1,66414,CHEMBL299613
2,1615,CHEMBL43048
3,178014,
4,9571836,CHEMBL231616
5,5881,CHEMBL90593
6,164045,CHEMBL1358287
7,,
8,107731,CHEMBL173365
9,,
10,,
11,,
12,,
13,444818,
14,,
15,441300,CHEMBL1380
16,16131215,CHEMBL1252
17,,
18,,
19,46220502,CHEMBL3301610
20,132971,CHEMBL254328
21,,
22,71226662,CHEMBL3707348
23,71158,CHEMBL1201293
24,441184,
25,1978,CHEMBL642
26,71771,CHEMBL93645
27,,
28,,
29,,
30,,
31,1981,CHEMBL189171
32,9052,
33,6077,CHEMBL39560
34,26035,CHEMBL2104054
35,,
36,1983,CHEMBL112
37,163158,
38,,
39,,
40,,
41,1986,CHEMBL20
42,176,CHEMBL539
43,,
44,1989,CHEMBL1589
45,1990,CHEMBL734
46,,
47,441185,
48,187,CHEMBL667
49,12035,CHEMBL600
50,68949,
51,2022,
52,,
53,,
54,6437841,
55,,
56,,
57,,
58,,
59,,
60,60164,CHEMBL1265
61,60871,CHEMBL922
62,190,CHEMBL226345
63,60961,CHEMBL477
64,6022,CHEMBL14830
65,6083,CHEMBL752
66,5957,CHEMBL14249
67,37632,CHEMBL328250
68,,
69,,
70,,
71,,
72,10184653,CHEMBL1173655
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,82148,CHEMBL10878
83,441080,CHEMBL2357792
84,2082,CHEMBL1483
85,19371515,CHEMBL1201747
86,636374,CHEMBL1200989
87,,
88,,
89,,
90,,
91,49806720,CHEMBL1738797
92,,
93,,
94,2088,CHEMBL870
95,5282181,CHEMBL1601669
96,51263,CHEMBL634
97,2092,CHEMBL709
98,,
99,,
100,,
101,,
102,24771867,CHEMBL483158
103,5493444,CHEMBL1639
104,444795,CHEMBL38
105,43008,CHEMBL290194
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,2094,
114,,
115,,
116,235905,CHEMBL3185133
117,33887,CHEMBL1183717
118,,
119,123606,CHEMBL1505
120,,
121,2099,CHEMBL1110
122,,
123,56649450,CHEMBL2396661
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,5280934,CHEMBL8739
133,,
134,2118,CHEMBL661
135,2119,CHEMBL266195
136,149351,
137,,
138,,
139,2123,CHEMBL1455
140,5359268,
141,,
142,,
143,,
