country,year,statvar,measurement_method,Tonnes Co2e
ABW,2015,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,142195.0
ABW,2015,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,72733.0
ABW,2015,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,50.0
ABW,2015,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,631000.0
ABW,2015,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,696999.0
ABW,2015,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,27804.0
ABW,2016,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,147394.0
ABW,2016,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,64163.0
ABW,2016,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,52.0
ABW,2016,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,648000.0
ABW,2016,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,675717.0
ABW,2016,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,27944.0
ABW,2017,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,147094.0
ABW,2017,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,63562.0
ABW,2017,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,54.0
ABW,2017,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,663000.0
ABW,2017,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,672506.0
ABW,2017,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,28140.0
ABW,2018,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,142683.0
ABW,2018,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,61851.0
ABW,2018,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,61.0
ABW,2018,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,680000.0
ABW,2018,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,661877.0
ABW,2018,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,28308.0
ABW,2019,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,142683.0
ABW,2019,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,2.0
ABW,2019,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,61851.0
ABW,2019,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,61.0
ABW,2019,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,688000.0
ABW,2019,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,671847.0
ABW,2019,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,28308.0
ABW,2020,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,142683.0
ABW,2020,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,61851.0
ABW,2020,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,61.0
ABW,2020,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,699000.0
ABW,2020,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,503906.0
ABW,2020,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,28308.0
AFG,2015,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,14952273.0
AFG,2015,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,747364.0
AFG,2015,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,736.0
AFG,2015,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,51500.0
AFG,2015,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1773804.0
AFG,2015,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,553926.0
AFG,2015,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,2591303.0
AFG,2015,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,2688992.0
AFG,2015,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,5740000.0
AFG,2016,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,14986546.0
AFG,2016,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,562540.0
AFG,2016,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,1430.0
AFG,2016,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,107980.0
AFG,2016,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1444392.0
AFG,2016,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,519156.0
AFG,2016,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,2501140.0
AFG,2016,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,1884786.0
AFG,2016,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,5597200.0
AFG,2017,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,14791385.0
AFG,2017,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,697752.0
AFG,2017,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,1029.0
AFG,2017,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,197068.0
AFG,2017,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1768933.0
AFG,2017,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,559396.0
AFG,2017,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,3631599.0
AFG,2017,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,2460658.0
AFG,2017,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,5672800.0
AFG,2018,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,14684785.0
AFG,2018,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,714200.0
AFG,2018,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,919.0
AFG,2018,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,83489.0
AFG,2018,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1822167.0
AFG,2018,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,522846.0
AFG,2018,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,3741644.0
AFG,2018,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,2524362.0
AFG,2018,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,5824000.0
AFG,2019,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,15272109.0
AFG,2019,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,714200.0
AFG,2019,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,1099.0
AFG,2019,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,112025.0
AFG,2019,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1822167.0
AFG,2019,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,522846.0
AFG,2019,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,3744644.0
AFG,2019,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,2531821.0
AFG,2019,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,5824000.0
AFG,2020,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,15406949.0
AFG,2020,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,714200.0
AFG,2020,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,1130.0
AFG,2020,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,152751.0
AFG,2020,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1822167.0
AFG,2020,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,522846.0
AFG,2020,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,3742644.0
AFG,2020,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,2433212.0
