Date,CumulativeCount_MedicalTest_COVID_19,CumulativeCount_MedicalTest_COVID_19_Positive,CumulativeCount_MedicalTest_COVID_19_Negative,Count_MedicalTest_COVID_19_Pending,CumulativeCount_MedicalConditionIncident_COVID_19_PatientRecovered,CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased,Count_MedicalConditionIncident_COVID_19_PatientHospitalized,CumulativeCount_MedicalConditionIncident_COVID_19_PatientHospitalized,Count_MedicalConditionIncident_COVID_19_PatientInICU,CumulativeCount_MedicalConditionIncident_COVID_19_PatientInICU,Count_MedicalConditionIncident_COVID_19_PatientOnVentilator,CumulativeCount_MedicalConditionIncident_COVID_19_PatientOnVentilator
2020-07-07,36878106,2980306,33897800,2136,936476,123834,41700,251499,5826,11177,2098,1084
2020-07-06,36225015,2928418,33296597,1907,924148,122915,39749,249539,5680,11058,2105,1070
2020-07-05,35706623,2881043,32825580,1885,902558,122673,38734,248745,5652,11010,2080,1064
2020-07-04,35051113,2838465,32212648,2083,894325,122464,38136,248155,5628,10977,1982,1063
2020-07-03,34406183,2786059,31620124,2237,883561,122158,37750,247284,5589,10936,2049,1059
2020-07-02,33685129,2728497,30956632,2208,875127,121523,37473,245722,5624,10816,2105,1041
2020-07-01,33020045,2674813,30345232,2604,823151,120853,36360,243846,5509,10752,2098,1027
2020-06-30,32386786,2621831,29764955,2432,813788,120152,35231,242408,5421,10669,2044,1008
2020-06-29,31750093,2577473,29172620,2194,798360,119556,33567,240826,5378,10542,2011,990
2020-06-28,31101293,2540983,28560310,2198,778321,119226,32475,240156,5245,10473,2077,983
2020-06-27,30514924,2498822,28016102,2186,772465,118955,32476,239576,5311,10415,2159,977
2020-06-26,29924047,2455351,27468696,2201,763966,118446,31724,238519,5279,10334,2075,966
2020-06-25,29321100,2410978,26910122,2133,756719,117810,31839,236993,5315,10257,2214,951
2020-06-24,28683513,2371917,26311596,2049,747565,115309,31083,235736,5290,10173,2248,934
2020-06-23,28171085,2333211,25837874,1891,738952,114585,30229,234426,5399,10077,2293,918
2020-06-22,27669671,2300193,25369478,2028,731602,113877,28789,233169,5320,10002,2299,909
2020-06-21,27204869,2273113,24931756,2084,713537,113594,27948,232369,5163,9944,2321,904
2020-06-20,26692691,2245856,24446835,2108,708864,113302,27962,231855,5225,9908,2380,888
2020-06-19,26126215,2213898,23912317,2032,698119,112674,28639,231110,5338,9876,2434,884
2020-06-18,25554969,2182843,23372126,1903,690692,112019,28409,229497,5464,9736,2520,869
2020-06-17,25037230,2155331,22881899,1745,680916,111315,28561,228457,5611,9665,2588,857
2020-06-16,24548479,2131460,22417019,1604,672228,110548,28264,227327,5570,9590,2594,845
2020-06-15,24081453,2107822,21973631,1619,665059,109815,27778,226002,5700,9516,2636,835
2020-06-14,23633714,2089167,21544547,1672,650541,109436,27860,225483,5748,9466,2716,834
2020-06-13,23155145,2067927,21087218,1698,645331,109083,28510,224843,5883,9430,2726,830
2020-06-12,22655317,2042793,20612524,1783,636111,108393,29150,223738,6017,9373,2734,814
2020-06-11,22036406,2019312,20017094,1816,629017,107621,29696,222493,6073,9295,2886,792
2020-06-10,21577327,1997261,19580066,1737,618125,106723,30847,221126,6248,9225,3020,780
2020-06-09,21147781,1976497,19171284,1661,609476,105838,31157,219642,6456,9141,3090,771
2020-06-08,20727318,1959341,18767977,1606,603143,104940,30615,218115,6402,9013,3240,762
2020-06-07,20323626,1942173,18381453,1733,590988,104280,30893,217401,6501,8957,3298,753
2020-06-06,19877283,1923399,17953884,1796,585470,103834,31468,216716,6762,8920,3476,750
2020-06-05,19366106,1900361,17465745,1749,576327,103107,31868,215699,6920,8863,3523,740
2020-06-04,18856640,1876998,16979642,3474,569623,102284,32233,214259,7056,8787,3665,723
2020-06-03,18394390,1856170,16538220,3556,557366,101396,32661,217100,7226,8688,3749,717
2020-06-02,17926425,1835856,16090569,4054,541976,100405,33328,214845,7405,8566,3852,710
2020-06-01,17506561,1815860,15690701,3455,536339,99446,33694,213260,7589,8485,3950,704
2020-05-31,17093313,1795481,15297832,3270,522866,98781,34337,210464,7624,8445,3669,704
