geo,time,Count_MortalityEvent,Count_BirthEvent_AsAFractionOfCount_Person,Count_MortalityEvent_AsAFractionOfCount_Person,IncrementalCount_Person,GrowthRate_Count_Person,Count_Person,Count_BirthEvent
dcid:nuts/AL,2000,16421.0,0.0167,0.0054,4821.0,0.0016,3058497.0,51242.0
dcid:nuts/AL,2001,15813.0,0.0177,0.0050999999999999995,20830.0,0.0068,3063318.0,54283.0
dcid:nuts/AL,2002,16248.0,0.0149,0.0053,-12025.0,-0.0039,3057018.0,45515.0
dcid:nuts/AL,2003,17967.0,0.0155,0.005900000000000001,-10762.0,-0.0035,3044993.0,47012.0
dcid:nuts/AL,2004,17749.0,0.014199999999999999,0.005900000000000001,-14597.0,-0.0048,3034231.0,43022.0
dcid:nuts/AL,2005,17124.0,0.0132,0.0057,-16305.0,-0.0054,3019634.0,39612.0
dcid:nuts/AL,2006,16935.0,0.0114,0.0057,-21574.0,-0.0072,3003329.0,34229.0
dcid:nuts/AL,2007,14509.0,0.0112,0.004900000000000001,-23489.0,-0.0079,2981755.0,33163.0
dcid:nuts/AL,2008,16143.0,0.0123,0.0055,-21911.0,-0.0074,2958266.0,36251.0
dcid:nuts/AL,2009,,,,-17681.0,-0.006,2936355.0,
dcid:nuts/AL,2010,,,,-11313.0,-0.0039,2918674.0,
dcid:nuts/AL,2011,19636.0,0.0112,0.0068,-4353.0,-0.0015,2907361.0,32628.0
dcid:nuts/AL,2012,,,,-5238.0,-0.0018,2903008.0,
dcid:nuts/AL,2013,20442.0,0.0123,0.0070999999999999995,-5376.0,-0.0019,2897770.0,35750.0
dcid:nuts/AL,2014,20656.0,0.0124,0.0070999999999999995,-6598.0,-0.0023,2892394.0,35760.0
dcid:nuts/AL,2015,22418.0,0.011300000000000001,0.0078,-16710.0,-0.0058,2885796.0,32715.0
dcid:nuts/AL,2016,21388.0,0.011,0.0074,999.0,0.0003,2875592.0,31733.0
dcid:nuts/AL,2017,22232.0,0.0107,0.0077,-6267.0,-0.0022,2876591.0,30869.0
dcid:nuts/AL,2018,21804.0,0.0101,0.0076,-7897.0,-0.0028,2870324.0,28934.0
dcid:nuts/AL,2019,,,,,,2862427.0,
dcid:nuts/AL0,2000,,,,,,,
dcid:nuts/AL0,2001,,,,,,,
dcid:nuts/AL0,2002,,,,-12025.0,-0.0039,3057018.0,
dcid:nuts/AL0,2003,,,,-10762.0,-0.0035,3044993.0,
dcid:nuts/AL0,2004,,,,-14597.0,-0.0048,3034231.0,
dcid:nuts/AL0,2005,,,,-16305.0,-0.0054,3019634.0,
dcid:nuts/AL0,2006,,,,-21574.0,-0.0072,3003329.0,
dcid:nuts/AL0,2007,,,,-23489.0,-0.0079,2981755.0,
dcid:nuts/AL0,2008,,,,-21911.0,-0.0074,2958266.0,
dcid:nuts/AL0,2009,,,,-17681.0,-0.006,2936355.0,
dcid:nuts/AL0,2010,,,,-11313.0,-0.0039,2918674.0,
dcid:nuts/AL0,2011,,,,-4353.0,-0.0015,2907361.0,
dcid:nuts/AL0,2012,,,,-5238.0,-0.0018,2903008.0,
dcid:nuts/AL0,2013,,,,-5376.0,-0.0019,2897770.0,
dcid:nuts/AL0,2014,20623.0,0.0121,0.0070999999999999995,-6598.0,-0.0023,2892394.0,35036.0
dcid:nuts/AL0,2015,22388.0,0.011300000000000001,0.0078,-10204.0,-0.0035,2885796.0,32591.0
dcid:nuts/AL0,2016,21368.0,0.011,0.0074,999.0,0.0003,2875592.0,31612.0
dcid:nuts/AL0,2017,22207.0,0.0107,0.0077,-6267.0,-0.0022,2876591.0,30738.0
dcid:nuts/AL0,2018,21778.0,0.0101,0.0076,-7897.0,-0.0028,2870324.0,28819.0
dcid:nuts/AL0,2019,,,,,,2862427.0,
dcid:nuts/AL01,2000,,,,,,,
dcid:nuts/AL01,2001,,,,,,,
dcid:nuts/AL01,2002,,,,,,,
dcid:nuts/AL01,2003,,,,,,,
dcid:nuts/AL01,2004,,,,,,,
dcid:nuts/AL01,2005,,,,,,,
dcid:nuts/AL01,2006,,,,,,,
dcid:nuts/AL01,2007,,,,,,,
dcid:nuts/AL01,2008,,,,,,,
dcid:nuts/AL01,2009,,,,,,,
dcid:nuts/AL01,2010,,,,,,,
dcid:nuts/AL01,2011,,,,,,,
dcid:nuts/AL01,2012,,,,-7974.0,-0.009300000000000001,861058.0,
dcid:nuts/AL01,2013,,,,-8163.0,-0.0096,853084.0,
dcid:nuts/AL01,2014,6000.0,0.0129,0.0070999999999999995,-8473.0,-0.0101,844921.0,10873.0
dcid:nuts/AL01,2015,6435.0,0.012,0.0077,-5467.0,-0.0066,836448.0,9966.0
dcid:nuts/AL01,2016,6206.0,0.0119,0.0075,-4077.0,-0.004900000000000001,830981.0,9837.0
dcid:nuts/AL01,2017,6378.0,0.011699999999999999,0.0077,-7111.0,-0.0086,826904.0,9620.0
dcid:nuts/AL01,2018,6276.0,0.0109,0.0077,-6035.0,-0.0074,819793.0,8940.0
dcid:nuts/AL01,2019,,,,,,813758.0,
dcid:nuts/AL011,2000,,,,,,,
dcid:nuts/AL011,2001,,,,,,,
dcid:nuts/AL011,2002,,,,,,,
dcid:nuts/AL011,2003,,,,,,,
