Date,GeoId,Count_Person_25To64Years_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_AsAFractionOfCount_Person_25To64Years,Count_Person_25To64Years_UpperSecondaryEducationOrHigher_AsAFractionOfCount_Person_25To64Years,Count_Person_25To64Years_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_AsAFractionOfCount_Person_25To64Years,Count_Person_25To64Years_TertiaryEducation_AsAFractionOfCount_Person_25To64Years,Count_Person_25To64Years_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Female_AsAFractionOfCount_Person_25To64Years_Female,Count_Person_25To64Years_UpperSecondaryEducationOrHigher_Female_AsAFractionOfCount_Person_25To64Years_Female,Count_Person_25To64Years_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Female_AsAFractionOfCount_Person_25To64Years_Female,Count_Person_25To64Years_TertiaryEducation_Female_AsAFractionOfCount_Person_25To64Years_Female,Count_Person_25To64Years_LessThanPrimaryEducationOrPrimaryEducationOrLowerSecondaryEducation_Male_AsAFractionOfCount_Person_25To64Years_Male,Count_Person_25To64Years_UpperSecondaryEducationOrHigher_Male_AsAFractionOfCount_Person_25To64Years_Male,Count_Person_25To64Years_UpperSecondaryEducationOrPostSecondaryNonTertiaryEducation_Male_AsAFractionOfCount_Person_25To64Years_Male,Count_Person_25To64Years_TertiaryEducation_Male_AsAFractionOfCount_Person_25To64Years_Male
2000,dcid:nuts/AT,23.8,76.2,62.1,14.1,30.3,69.7,58.4,11.3,17.3,82.7,65.8,16.9
2001,dcid:nuts/AT,22.5,77.5,62.6,14.8,28.7,71.3,58.7,12.6,16.3,83.7,66.6,17.1
2002,dcid:nuts/AT,21.7,78.3,62.7,15.7,27.7,72.3,58.4,13.9,15.5,84.5,67.0,17.5
2003,dcid:nuts/AT,21.0,79.0,63.3,15.7,27.1,72.9,59.0,14.0,14.9,85.1,67.6,17.5
2004,dcid:nuts/AT,20.2,79.8,61.8,18.0,25.2,74.8,60.0,14.7,15.0,85.0,63.7,21.3
2005,dcid:nuts/AT,19.6,80.4,62.7,17.7,24.8,75.2,60.1,15.1,14.4,85.6,65.3,20.3
2006,dcid:nuts/AT,19.9,80.1,62.7,17.5,26.0,74.0,59.2,14.7,13.7,86.3,66.2,20.2
2007,dcid:nuts/AT,20.1,79.9,62.6,17.3,26.2,73.8,59.2,14.6,13.8,86.2,66.1,20.1
2008,dcid:nuts/AT,19.1,80.9,63.0,17.9,24.7,75.3,59.9,15.4,13.5,86.5,66.2,20.4
2009,dcid:nuts/AT,18.4,81.6,62.7,18.9,23.9,76.1,59.4,16.7,12.8,87.2,66.1,21.1
2010,dcid:nuts/AT,17.6,82.4,63.2,19.1,22.7,77.3,60.1,17.2,12.6,87.4,66.3,21.1
2011,dcid:nuts/AT,17.6,82.4,63.2,19.2,22.4,77.6,60.5,17.1,12.8,87.2,65.9,21.3
2012,dcid:nuts/AT,17.1,82.9,63.1,19.8,21.8,78.2,60.3,17.9,12.3,87.7,66.0,21.7
2013,dcid:nuts/AT,17.0,83.0,62.4,20.6,21.4,78.6,59.7,18.9,12.6,87.4,65.1,22.3
2014,dcid:nuts/AT,16.1,83.9,54.0,29.9,20.2,79.8,51.1,28.6,12.0,88.0,56.8,31.2
2015,dcid:nuts/AT,15.4,84.6,54.1,30.6,19.3,80.7,51.5,29.1,11.3,88.7,56.7,32.0
2016,dcid:nuts/AT,15.5,84.5,53.1,31.4,19.2,80.8,50.2,30.6,11.8,88.2,56.1,32.2
2017,dcid:nuts/AT,15.0,85.0,52.6,32.4,18.3,81.7,49.8,31.9,11.7,88.3,55.4,32.9
2018,dcid:nuts/AT,14.7,85.3,52.6,32.7,18.1,81.9,50.2,31.8,11.3,88.7,55.0,33.7
2019,dcid:nuts/AT,14.4,85.6,51.8,33.8,17.3,82.7,49.4,33.4,11.6,88.4,54.2,34.2
2000,dcid:nuts/AT1,22.5,77.5,61.6,15.9,28.1,71.9,58.6,13.3,16.7,83.3,64.7,18.6
2001,dcid:nuts/AT1,21.8,78.2,61.8,16.4,27.2,72.8,58.3,14.5,16.4,83.6,65.3,18.4
2002,dcid:nuts/AT1,21.0,79.0,62.3,16.8,26.6,73.4,58.2,15.2,15.2,84.8,66.4,18.4
2003,dcid:nuts/AT1,20.6,79.4,62.7,16.7,26.2,73.8,58.7,15.1,14.8,85.2,66.8,18.4
2004,dcid:nuts/AT1,19.5,80.5,60.3,20.3,24.4,75.6,58.3,17.3,14.5,85.5,62.2,23.3
2005,dcid:nuts/AT1,19.3,80.7,60.9,19.8,24.2,75.8,58.1,17.7,14.3,85.7,63.8,21.9
2006,dcid:nuts/AT1,19.2,80.8,61.6,19.3,25.2,74.8,57.4,17.3,13.0,87.0,65.8,21.2
2007,dcid:nuts/AT1,19.8,80.2,61.6,18.6,25.8,74.2,57.8,16.4,13.7,86.3,65.5,20.7
2008,dcid:nuts/AT1,18.5,81.5,61.7,19.8,23.3,76.7,58.5,18.3,13.7,86.3,65.0,21.3
2009,dcid:nuts/AT1,18.0,82.0,60.6,21.4,22.7,77.3,56.9,20.4,13.2,86.8,64.3,22.5
2010,dcid:nuts/AT1,17.0,83.0,60.8,22.2,21.5,78.5,58.0,20.5,12.4,87.6,63.7,23.9
2011,dcid:nuts/AT1,17.8,82.2,60.7,21.5,22.1,77.9,57.8,20.0,13.3,86.7,63.6,23.1
2012,dcid:nuts/AT1,17.4,82.6,60.6,21.9,22.1,77.9,56.8,21.1,12.7,87.3,64.5,22.8
2013,dcid:nuts/AT1,17.1,82.9,59.2,23.7,21.2,78.8,55.9,22.9,12.9,87.1,62.5,24.6
2014,dcid:nuts/AT1,16.4,83.6,49.9,33.7,20.1,79.9,46.3,33.7,12.7,87.3,53.5,33.8
2015,dcid:nuts/AT1,15.6,84.4,49.9,34.6,19.1,80.9,47.4,33.5,12.0,88.0,52.4,35.7
2016,dcid:nuts/AT1,15.9,84.1,49.3,34.8,19.3,80.7,45.9,34.8,12.5,87.5,52.7,34.8
2017,dcid:nuts/AT1,15.2,84.8,48.0,36.7,18.2,81.8,44.7,37.1,12.2,87.8,51.4,36.3
2018,dcid:nuts/AT1,15.2,84.8,48.0,36.8,18.4,81.6,44.9,36.7,11.8,88.2,51.2,36.9
2019,dcid:nuts/AT1,15.2,84.8,47.3,37.5,17.6,82.4,44.1,38.3,12.7,87.3,50.6,36.7
2000,dcid:nuts/AT11,31.4,68.6,57.6,11.0,42.2,57.8,48.8,8.9,21.0,79.0,65.9,13.1
2001,dcid:nuts/AT11,29.7,70.3,59.2,11.2,39.8,60.2,50.1,10.1,19.9,80.1,67.9,12.2
2002,dcid:nuts/AT11,27.6,72.4,60.8,11.6,39.0,61.0,50.1,10.9,16.7,83.3,71.1,12.2
2003,dcid:nuts/AT11,27.0,73.0,60.5,12.6,38.1,61.9,49.9,12.0,16.3,83.7,70.7,13.1
2004,dcid:nuts/AT11,24.1,75.9,63.3,12.6,33.5,66.5,56.1,10.4,15.1,84.9,70.3,14.6
2005,dcid:nuts/AT11,23.5,76.5,63.7,12.7,33.9,66.1,56.1,10.0,13.4,86.6,71.2,15.4
2006,dcid:nuts/AT11,22.8,77.2,62.3,14.9,33.6,66.4,55.0,11.4,12.3,87.7,69.5,18.3
2007,dcid:nuts/AT11,22.6,77.4,64.2,13.2,32.2,67.8,57.6,10.1,13.1,86.9,70.6,16.3
