Country,Currency,YearMonth,ObservationPeriod,ExchangeRatePerUSD,ExchangeRatePerUSD_Standardized,# Comments
country/AFG,AFA,1970,P1Y,44.998427100000001,,#2 row original
country/AFG,AFA,1970-01,P1M,44.998427100000001,,#3 row original
country/AFG,AFA,1970-02,P1M,44.998427100000001,,#4 row original
country/AFG,AFA,1970-03,P1M,44.998427100000001,,#5 row original
country/AFG,AFA,1970-04,P1M,44.998427100000001,,#6 row original
country/AFG,AFA,1970-05,P1M,44.998427100000001,,#7 row original
country/AFG,AFA,1970-06,P1M,44.998427100000001,,#8 row original
country/AFG,AFA,1970-07,P1M,44.998427100000001,,#9 row original
country/AFG,AFA,1970-08,P1M,44.998427100000001,,#10 row original
country/AFG,AFA,1970-09,P1M,44.998427100000001,,#11 row original
country/AFG,AFA,1970-10,P1M,44.998427100000001,,#12 row original
country/AFG,AFA,1970-11,P1M,44.998427100000001,,#13 row original
country/AFG,AFA,1970-12,P1M,44.998427100000001,,#14 row original
country/AFG,AFA,1971,P1Y,44.998427100000001,,#15 row original
country/AFG,AFA,1971-01,P1M,44.998427100000001,,#16 row original
country/AFG,AFA,1971-02,P1M,44.998427100000001,,#17 row original
country/AFG,AFA,1971-03,P1M,44.998427100000001,,#18 row original
country/AFG,AFA,1971-04,P1M,44.998427100000001,,#19 row original
country/AFG,AFA,1971-05,P1M,44.998427100000001,,#20 row original
country/AFG,AFA,1971-06,P1M,44.998427100000001,,#21 row original
country/AFG,AFA,1971-07,P1M,44.998427100000001,,#22 row original
country/AFG,AFA,1971-08,P1M,44.998427100000001,,#23 row original
country/AFG,AFA,1971-09,P1M,44.998427100000001,,#24 row original
country/AFG,AFA,1971-10,P1M,44.998427100000001,,#25 row original
country/AFG,AFA,1971-11,P1M,44.998427100000001,,#26 row original
country/AFG,AFA,1971-12,P1M,44.998427100000001,,#27 row original
country/AFG,AFA,1972,P1Y,44.998427100000001,,#28 row original
country/AFG,AFA,1972-01,P1M,44.998427100000001,,#29 row original
country/AFG,AFA,1972-02,P1M,44.998427100000001,,#30 row original
country/AFG,AFA,1972-03,P1M,44.998427100000001,,#31 row original
country/AFG,AFA,1972-04,P1M,44.998427100000001,,#32 row original
country/AFG,AFA,1972-05,P1M,44.998427100000001,,#33 row original
country/AFG,AFA,1972-06,P1M,44.998427100000001,,#34 row original
country/AFG,AFA,1972-07,P1M,44.998427100000001,,#35 row original
country/AFG,AFA,1972-08,P1M,44.998427100000001,,#36 row original
country/AFG,AFA,1972-09,P1M,44.998427100000001,,#37 row original
country/AFG,AFA,1972-10,P1M,44.998427100000001,,#38 row original
country/AFG,AFA,1972-11,P1M,44.998427100000001,,#39 row original
country/AFG,AFA,1972-12,P1M,44.998427100000001,,#40 row original
country/AFG,AFA,1973,P1Y,44.998427100000001,,#41 row original
country/AFG,AFA,1973-01,P1M,44.998427100000001,,#42 row original
country/AFG,AFA,1973-02,P1M,44.998427100000001,,#43 row original
country/AFG,AFA,1973-03,P1M,44.998427100000001,,#44 row original
country/AFG,AFA,1973-04,P1M,44.998427100000001,,#45 row original
country/AFG,AFA,1973-05,P1M,44.998427100000001,,#46 row original
country/AFG,AFA,1973-06,P1M,44.998427100000001,,#47 row original
country/AFG,AFA,1973-07,P1M,44.998427100000001,,#48 row original
country/AFG,AFA,1973-08,P1M,44.998427100000001,,#49 row original
country/AFG,AFA,1973-09,P1M,44.998427100000001,,#50 row original
country/AFG,AFA,1973-10,P1M,44.998427100000001,,#51 row original
country/AFG,AFA,1973-11,P1M,44.998427100000001,,#52 row original
country/AFG,AFA,1973-12,P1M,44.998427100000001,,#53 row original
country/AFG,AFA,1974,P1Y,44.998427100000001,,#54 row original
country/AFG,AFA,1974-01,P1M,44.998427100000001,,#55 row original
country/AFG,AFA,1974-02,P1M,44.998427100000001,,#56 row original
country/AFG,AFA,1974-03,P1M,44.998427100000001,,#57 row original
country/AFG,AFA,1974-04,P1M,44.998427100000001,,#58 row original
country/AFG,AFA,1974-05,P1M,44.998427100000001,,#59 row original
country/AFG,AFA,1974-06,P1M,44.998427100000001,,#60 row original
country/AFG,AFA,1974-07,P1M,44.998427100000001,,#61 row original
country/AFG,AFA,1974-08,P1M,44.998427100000001,,#62 row original
country/AFG,AFA,1974-09,P1M,44.998427100000001,,#63 row original
country/AFG,AFA,1974-10,P1M,44.998427100000001,,#64 row original
country/AFG,AFA,1974-11,P1M,44.998427100000001,,#65 row original
country/AFG,AFA,1974-12,P1M,44.998427100000001,,#66 row original
country/AFG,AFA,1975,P1Y,44.998427100000001,,#67 row original
country/AFG,AFA,1975-01,P1M,44.998427100000001,,#68 row original
country/AFG,AFA,1975-02,P1M,44.998427100000001,,#69 row original
country/AFG,AFA,1975-03,P1M,44.998427100000001,,#70 row original
country/AFG,AFA,1975-04,P1M,44.998427100000001,,#71 row original
country/AFG,AFA,1975-05,P1M,44.998427100000001,,#72 row original
country/AFG,AFA,1975-06,P1M,44.998427100000001,,#73 row original
country/AFG,AFA,1975-07,P1M,44.998427100000001,,#74 row original
country/AFG,AFA,1975-08,P1M,44.998427100000001,,#75 row original
country/AFG,AFA,1975-09,P1M,44.998427100000001,,#76 row original
country/AFG,AFA,1975-10,P1M,44.998427100000001,,#77 row original
country/AFG,AFA,1975-11,P1M,44.998427100000001,,#78 row original
country/AFG,AFA,1975-12,P1M,44.998427100000001,,#79 row original
country/AFG,AFA,1976,P1Y,44.998427100000001,,#80 row original
country/AFG,AFA,1976-01,P1M,44.998427100000001,,#81 row original
country/AFG,AFA,1976-02,P1M,44.998427100000001,,#82 row original
country/AFG,AFA,1976-03,P1M,44.998427100000001,,#83 row original
country/AFG,AFA,1976-04,P1M,44.998427100000001,,#84 row original
country/AFG,AFA,1976-05,P1M,44.998427100000001,,#85 row original
country/AFG,AFA,1976-06,P1M,44.998427100000001,,#86 row original
country/AFG,AFA,1976-07,P1M,44.998427100000001,,#87 row original
country/AFG,AFA,1976-08,P1M,44.998427100000001,,#88 row original
country/AFG,AFA,1976-09,P1M,44.998427100000001,,#89 row original
country/AFG,AFA,1976-10,P1M,44.998427100000001,,#90 row original
country/AFG,AFA,1976-11,P1M,44.998427100000001,,#91 row original
country/AFG,AFA,1976-12,P1M,44.998427100000001,,#92 row original
country/AFG,AFA,1977,P1Y,44.998427100000001,,#93 row original
country/AFG,AFA,1977-01,P1M,44.998427100000001,,#94 row original
country/AFG,AFA,1977-02,P1M,44.998427100000001,,#95 row original
country/AFG,AFA,1977-03,P1M,44.998427100000001,,#96 row original
country/AFG,AFA,1977-04,P1M,44.998427100000001,,#97 row original
country/AFG,AFA,1977-05,P1M,44.998427100000001,,#98 row original
country/AFG,AFA,1977-06,P1M,44.998427100000001,,#99 row original
country/AFG,AFA,1977-07,P1M,44.998427100000001,,#100 row original
country/AFG,AFA,1977-08,P1M,44.998427100000001,,#101 row original
country/AFG,AFA,1977-09,P1M,44.998427100000001,,#102 row original
country/AFG,AFA,1977-10,P1M,44.998427100000001,,#103 row original
country/AFG,AFA,1977-11,P1M,44.998427100000001,,#104 row original
country/AFG,AFA,1977-12,P1M,44.998427100000001,,#105 row original
country/AFG,AFA,1978,P1Y,44.998427100000001,,#106 row original
country/AFG,AFA,1978-01,P1M,44.998427100000001,,#107 row original
country/AFG,AFA,1978-02,P1M,44.998427100000001,,#108 row original
country/AFG,AFA,1978-03,P1M,44.998427100000001,,#109 row original
country/AFG,AFA,1978-04,P1M,44.998427100000001,,#110 row original
country/AFG,AFA,1978-05,P1M,44.998427100000001,,#111 row original
country/AFG,AFA,1978-06,P1M,44.998427100000001,,#112 row original
country/AFG,AFA,1978-07,P1M,44.998427100000001,,#113 row original
country/AFG,AFA,1978-08,P1M,44.998427100000001,,#114 row original
country/AFG,AFA,1978-09,P1M,44.998427100000001,,#115 row original
country/AFG,AFA,1978-10,P1M,44.998427100000001,,#116 row original
country/AFG,AFA,1978-11,P1M,44.998427100000001,,#117 row original
country/AFG,AFA,1978-12,P1M,44.998427100000001,,#118 row original
country/AFG,AFA,1979,P1Y,43.730752899999999,,#119 row original
country/AFG,AFA,1979-01,P1M,43.730752899999999,,#120 row original
country/AFG,AFA,1979-02,P1M,43.730752899999999,,#121 row original
country/AFG,AFA,1979-03,P1M,43.730752899999999,,#122 row original
country/AFG,AFA,1979-04,P1M,43.730752899999999,,#123 row original
country/AFG,AFA,1979-05,P1M,43.730752899999999,,#124 row original
country/AFG,AFA,1979-06,P1M,43.730752899999999,,#125 row original
country/AFG,AFA,1979-07,P1M,43.730752899999999,,#126 row original
country/AFG,AFA,1979-08,P1M,43.730752899999999,,#127 row original
country/AFG,AFA,1979-09,P1M,43.730752899999999,,#128 row original
country/AFG,AFA,1979-10,P1M,43.730752899999999,,#129 row original
country/AFG,AFA,1979-11,P1M,43.730752899999999,,#130 row original
country/AFG,AFA,1979-12,P1M,43.730752899999999,,#131 row original
country/AFG,AFA,1980,P1Y,44.129166699999999,,#132 row original
country/AFG,AFA,1980-01,P1M,44.129166699999999,,#133 row original
country/AFG,AFA,1980-02,P1M,44.129166699999999,,#134 row original
country/AFG,AFA,1980-03,P1M,44.129166699999999,,#135 row original
country/AFG,AFA,1980-04,P1M,44.129166699999999,,#136 row original
country/AFG,AFA,1980-05,P1M,44.129166699999999,,#137 row original
country/AFG,AFA,1980-06,P1M,44.129166699999999,,#138 row original
country/AFG,AFA,1980-07,P1M,44.129166699999999,,#139 row original
country/AFG,AFA,1980-08,P1M,44.129166699999999,,#140 row original
country/AFG,AFA,1980-09,P1M,44.129166699999999,,#141 row original
country/AFG,AFA,1980-10,P1M,44.129166699999999,,#142 row original
country/AFG,AFA,1980-11,P1M,44.129166699999999,,#143 row original
country/AFG,AFA,1980-12,P1M,44.129166699999999,,#144 row original
country/AFG,AFA,1981,P1Y,49.479902199999998,,#145 row original
country/AFG,AFA,1981-01,P1M,49.479902199999998,,#146 row original
country/AFG,AFA,1981-02,P1M,49.479902199999998,,#147 row original
country/AFG,AFA,1981-03,P1M,49.479902199999998,,#148 row original
country/AFG,AFA,1981-04,P1M,49.479902199999998,,#149 row original
country/AFG,AFA,1981-05,P1M,49.479902199999998,,#150 row original
country/AFG,AFA,1981-06,P1M,49.479902199999998,,#151 row original
country/AFG,AFA,1981-07,P1M,49.479902199999998,,#152 row original
country/AFG,AFA,1981-08,P1M,49.479902199999998,,#153 row original
country/AFG,AFA,1981-09,P1M,49.479902199999998,,#154 row original
country/AFG,AFA,1981-10,P1M,49.479902199999998,,#155 row original
country/AFG,AFA,1981-11,P1M,49.479902199999998,,#156 row original
country/AFG,AFA,1981-12,P1M,49.479902199999998,,#157 row original
country/AFG,AFA,1982,P1Y,50.599607900000002,,#158 row original
country/AFG,AFA,1982-01,P1M,50.599607900000002,,#159 row original
country/AFG,AFA,1982-02,P1M,50.599607900000002,,#160 row original
country/AFG,AFA,1982-03,P1M,50.599607900000002,,#161 row original
country/AFG,AFA,1982-04,P1M,50.599607900000002,,#162 row original
country/AFG,AFA,1982-05,P1M,50.599607900000002,,#163 row original
country/AFG,AFA,1982-06,P1M,50.599607900000002,,#164 row original
country/AFG,AFA,1982-07,P1M,50.599607900000002,,#165 row original
country/AFG,AFA,1982-08,P1M,50.599607900000002,,#166 row original
country/AFG,AFA,1982-09,P1M,50.599607900000002,,#167 row original
country/AFG,AFA,1982-10,P1M,50.599607900000002,,#168 row original
country/AFG,AFA,1982-11,P1M,50.599607900000002,,#169 row original
country/AFG,AFA,1982-12,P1M,50.599607900000002,,#170 row original
country/AFG,AFA,1983,P1Y,50.599607900000002,,#171 row original
country/AFG,AFA,1983-01,P1M,50.599607900000002,,#172 row original
country/AFG,AFA,1983-02,P1M,50.599607900000002,,#173 row original
country/AFG,AFA,1983-03,P1M,50.599607900000002,,#174 row original
country/AFG,AFA,1983-04,P1M,50.599607900000002,,#175 row original
country/AFG,AFA,1983-05,P1M,50.599607900000002,,#176 row original
country/AFG,AFA,1983-06,P1M,50.599607900000002,,#177 row original
country/AFG,AFA,1983-07,P1M,50.599607900000002,,#178 row original
country/AFG,AFA,1983-08,P1M,50.599607900000002,,#179 row original
country/AFG,AFA,1983-09,P1M,50.599607900000002,,#180 row original
country/AFG,AFA,1983-10,P1M,50.599607900000002,,#181 row original
country/AFG,AFA,1983-11,P1M,50.599607900000002,,#182 row original
country/AFG,AFA,1983-12,P1M,50.599607900000002,,#183 row original
country/AFG,AFA,1984,P1Y,50.599606399999999,,#184 row original
country/AFG,AFA,1984-01,P1M,50.599606399999999,,#185 row original
country/AFG,AFA,1984-02,P1M,50.599606399999999,,#186 row original
country/AFG,AFA,1984-03,P1M,50.599606399999999,,#187 row original
country/AFG,AFA,1984-04,P1M,50.599606399999999,,#188 row original
country/AFG,AFA,1984-05,P1M,50.599606399999999,,#189 row original
country/AFG,AFA,1984-06,P1M,50.599606399999999,,#190 row original
country/AFG,AFA,1984-07,P1M,50.599606399999999,,#191 row original
country/AFG,AFA,1984-08,P1M,50.599606399999999,,#192 row original
country/AFG,AFA,1984-09,P1M,50.599606399999999,,#193 row original
country/AFG,AFA,1984-10,P1M,50.599606399999999,,#194 row original
country/AFG,AFA,1984-11,P1M,50.599606399999999,,#195 row original
country/AFG,AFA,1984-12,P1M,50.599606399999999,,#196 row original
country/AFG,AFA,1985,P1Y,50.599605300000000,,#197 row original
country/AFG,AFA,1985-01,P1M,50.599605300000000,,#198 row original
country/AFG,AFA,1985-02,P1M,50.599605300000000,,#199 row original
country/AFG,AFA,1985-03,P1M,50.599605300000000,,#200 row original
country/AFG,AFA,1985-04,P1M,50.599605300000000,,#201 row original
country/AFG,AFA,1985-05,P1M,50.599605300000000,,#202 row original
country/AFG,AFA,1985-06,P1M,50.599605300000000,,#203 row original
country/AFG,AFA,1985-07,P1M,50.599605300000000,,#204 row original
country/AFG,AFA,1985-08,P1M,50.599605300000000,,#205 row original
country/AFG,AFA,1985-09,P1M,50.599605300000000,,#206 row original
country/AFG,AFA,1985-10,P1M,50.599605300000000,,#207 row original
country/AFG,AFA,1985-11,P1M,50.599605300000000,,#208 row original
country/AFG,AFA,1985-12,P1M,50.599605300000000,,#209 row original
country/AFG,AFA,1986,P1Y,50.599605300000000,,#210 row original
country/AFG,AFA,1986-01,P1M,50.599605300000000,,#211 row original
country/AFG,AFA,1986-02,P1M,50.599605300000000,,#212 row original
country/AFG,AFA,1986-03,P1M,50.599605300000000,,#213 row original
