las vegas metropolitan police department nv	29820
honolulu hi	1500390810
charlotte-mecklenburg nc	16740
indianapolis in	26900
washington dc	1150000
louisville metro ky	31140
nashville metropolitan tn	34980
lexington ky	30460
savannah-chatham metropolitan ga	42340
boise id	1608830
west valley ut	4983470
athens-clarke county ga	12020
amherst town ny	3602902000
ventura ca	665042
greece town ny	3605530290
ramapo town ny	3608760510
canton township mi	2613120
hamilton township mercer county nj	3402129310
clarkstown town ny	3608715968
colonie town ny	3600117343
cheektowaga town ny	3602915011
camden county police department nj	34007
waterford township mi	2684240
franklin township somerset county nj	3403524900
west bloomfield township mi	2612585480
tonawanda town ny	3602975000
weymouth ma	2578972
hempstead village ny	3633139
abington township montgomery county pa	4209100156
irvington nj	3401334450
southampton town ny	3610368473
methuen ma	2500940710
irondequoit town ny	3605537726
bloomfield nj	3401306260
union township clermont county oh	3978288
washington township gloucester county nj	3401577180
west orange nj	3401379800
redford township mi	2616367625
hamburg town ny	3602931654
greenburgh town ny	3611930367
monroe township middlesex county nj	3402347280
west seneca town ny	3602980918
webster town and village ny	3605578971
barnstable ma	2503690
freeport village ny	3627485
de kalb il	1719161
meridian township mi	2606553140
miami township clermont county oh	3949322
pocono mountain regional pa	4208951912
penn hills pa	4200359032
jackson township stark county oh	3938094
greenacres city fl	1227322
saginaw township mi	2614570540
pittsfield township mi	2616164560
montclair nj	3401347500
commerce township mi	2612517640
orangetown town ny	3608755211
braintree ma	2502107740
haverstraw town ny	3608732765
lancaster town ny	3602941146
monroe township gloucester county nj	3401547250
yorktown town ny	3611984077
blackman township mi	2607508760
independence township mi	2612540400
grand blanc township mi	2604933300
brighton town ny	3603308213
springfield township hamilton county oh	3974121
belleville nj	3401304695
orion township mi	2612561100
bethlehem town ny	3600106354
watertown ma	2501773440
austintown oh	3909903198
carmel town ny	3607912529
guilderland town ny	3600131104
houma la	2236255
falls township bucks county pa	4201725112
franklin ma	2525172
lawrence township mercer county nj	3402139510
spring valley village ny	3670420
mount lebanon pa	4200351696
paso robles ca	622300
brownstown township mi	2616311220
white lake township mi	2612586860
newburgh town ny	3607150045
orange city nj	3401313045
flint township mi	2604929020
orchard park town ny	3602955277
port chester village ny	3659223
rotterdam town ny	3609363935
la canada flintridge ca	639003
los alamos nm	3502891860
espanola nm	3525170
lakeview harrison county tx	4840888
kensington ca	638086
big bear ca	606434
sansom park village tx	4865660
broadmoor ca	608338
spring valley tx	4869812
carmel ca	611250
angels camp ca	602112
port mansfield tx	4858928
