Date,GeoId,COVID19CumulativeCases,COVID19CumulativeDeaths
2020-01-21,geoId/000001,0,0
2020-01-22,geoId/000001,0,0
2020-01-23,geoId/000001,0,0
2020-01-24,geoId/000001,0,0
2020-01-25,geoId/000001,0,0
2020-01-26,geoId/000001,0,0
2020-01-27,geoId/000001,0,0
2020-01-28,geoId/000001,0,0
2020-01-29,geoId/000001,0,0
2020-01-30,geoId/000001,0,0
2020-01-31,geoId/000001,0,0
2020-02-01,geoId/000001,0,0
2020-02-02,geoId/000001,0,0
2020-02-03,geoId/000001,0,0
2020-02-04,geoId/000001,0,0
2020-02-05,geoId/000001,0,0
2020-02-06,geoId/000001,0,0
2020-02-07,geoId/000001,0,0
2020-02-08,geoId/000001,0,0
2020-02-09,geoId/000001,0,0
2020-02-10,geoId/000001,0,0
2020-02-11,geoId/000001,0,0
2020-02-12,geoId/000001,0,0
2020-02-13,geoId/000001,0,0
2020-02-14,geoId/000001,0,0
2020-02-15,geoId/000001,0,0
2020-02-16,geoId/000001,0,0
2020-02-17,geoId/000001,0,0
2020-02-18,geoId/000001,0,0
2020-02-19,geoId/000001,0,0
2020-02-20,geoId/000001,0,0
2020-02-21,geoId/000001,0,0
2020-02-22,geoId/000001,0,0
2020-02-23,geoId/000001,0,0
2020-02-24,geoId/000001,0,0
2020-02-25,geoId/000001,0,0
2020-02-26,geoId/000001,0,0
2020-02-27,geoId/000001,0,0
2020-02-28,geoId/000001,0,0
2020-02-29,geoId/000001,0,0
2020-03-01,geoId/000001,0,0
2020-03-02,geoId/000001,0,0
2020-03-03,geoId/000001,0,0
2020-03-04,geoId/000001,0,0
2020-03-05,geoId/000001,0,0
2020-03-06,geoId/000001,0,0
2020-03-07,geoId/000001,0,0
2020-03-08,geoId/000001,0,0
2020-03-09,geoId/000001,0,0
2020-03-10,geoId/000001,0,0
2020-03-11,geoId/000001,0,0
2020-03-12,geoId/000001,0,0
2020-03-13,geoId/000001,6,0
2020-03-14,geoId/000001,12,0
2020-03-15,geoId/000001,23,0
2020-03-16,geoId/000001,29,0
2020-03-17,geoId/000001,39,0
2020-03-18,geoId/000001,51,0
2020-03-19,geoId/000001,78,0
2020-03-20,geoId/000001,106,0
2020-03-21,geoId/000001,131,0
2020-03-22,geoId/000001,157,0
2020-03-23,geoId/000001,196,0
2020-03-24,geoId/000001,242,0
2020-03-25,geoId/000001,386,1
2020-03-26,geoId/000001,538,3
2020-03-27,geoId/000001,639,4
2020-03-28,geoId/000001,720,4
2020-03-29,geoId/000001,830,5
2020-03-30,geoId/000001,947,11
2020-03-31,geoId/000001,999,13
2020-04-01,geoId/000001,1106,28
2020-04-02,geoId/000001,1270,32
2020-04-03,geoId/000001,1535,38
2020-04-04,geoId/000001,1632,44
2020-04-05,geoId/000001,1840,45
2020-04-06,geoId/000001,2005,53
2020-04-07,geoId/000001,2197,64
2020-04-08,geoId/000001,2498,67
2020-04-09,geoId/000001,2838,78
2020-04-10,geoId/000001,3008,80
2020-04-11,geoId/000001,3262,93
