Detail Data For Coal Reserves by State, Coal Field & Reserve Type Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
State,CoalField,CoalType,ReserveDepth,ReserveType,YearValue,QtyInMillionTonnes_Reserves
WEST BENGAL,BARJORA,NON-COKING,0-300,PROVED,2006,114.270
WEST BENGAL,BIRBHUM,NON-COKING,0-300,INDICATED,2006,332.910
WEST BENGAL,BIRBHUM,NON-COKING,0-300,INFERRED,2006,40.010
WEST BENGAL,BIRBHUM,NON-COKING,300-600,INDICATED,2006,2805.870
WEST BENGAL,BIRBHUM,NON-COKING,300-600,INFERRED,2006,523.200
WEST BENGAL,BIRBHUM,NON-COKING,600-1200,INDICATED,2006,932.450
WEST BENGAL,BIRBHUM,NON-COKING,600-1200,INFERRED,2006,48.580
WEST BENGAL,DARJEELING,NON-COKING,0-300,INFERRED,2006,15.000
WEST BENGAL,RANIGANJ,MEDIUM COKING,0-300,PROVED,2006,194.700
WEST BENGAL,RANIGANJ,MEDIUM COKING,0-300,INDICATED,2006,1.600
WEST BENGAL,RANIGANJ,MEDIUM COKING,300-600,PROVED,2006,15.300
WEST BENGAL,RANIGANJ,MEDIUM COKING,300-600,INDICATED,2006,16.900
WEST BENGAL,RANIGANJ,SEMI-COKING,0-300,PROVED,2006,45.750
WEST BENGAL,RANIGANJ,SEMI-COKING,0-300,INDICATED,2006,14.190
WEST BENGAL,RANIGANJ,SEMI-COKING,300-600,PROVED,2006,109.510
WEST BENGAL,RANIGANJ,SEMI-COKING,300-600,INDICATED,2006,113.230
WEST BENGAL,RANIGANJ,SEMI-COKING,300-600,INFERRED,2006,23.480
WEST BENGAL,RANIGANJ,SEMI-COKING,600-1200,PROVED,2006,32.790
WEST BENGAL,RANIGANJ,SEMI-COKING,600-1200,INDICATED,2006,305.070
WEST BENGAL,RANIGANJ,SEMI-COKING,600-1200,INFERRED,2006,144.750
WEST BENGAL,RANIGANJ,NON-COKING,0-300,PROVED,2006,9237.710
WEST BENGAL,RANIGANJ,NON-COKING,0-300,INDICATED,2006,2101.110
WEST BENGAL,RANIGANJ,NON-COKING,0-300,INFERRED,2006,228.630
WEST BENGAL,RANIGANJ,NON-COKING,300-600,PROVED,2006,1619.910
WEST BENGAL,RANIGANJ,NON-COKING,300-600,INDICATED,2006,3402.000
WEST BENGAL,RANIGANJ,NON-COKING,300-600,INFERRED,2006,1860.890
WEST BENGAL,RANIGANJ,NON-COKING,600-1200,PROVED,2006,13.220
WEST BENGAL,RANIGANJ,NON-COKING,600-1200,INDICATED,2006,1853.080
WEST BENGAL,RANIGANJ,NON-COKING,600-1200,INFERRED,2006,1668.820
WEST BENGAL,BARJORA,NON-COKING,0-300,PROVED,2007,114.270
WEST BENGAL,BIRBHUM,NON-COKING,0-300,INDICATED,2007,332.910
WEST BENGAL,BIRBHUM,NON-COKING,0-300,INFERRED,2007,40.010
WEST BENGAL,BIRBHUM,NON-COKING,300-600,INDICATED,2007,2805.870
WEST BENGAL,BIRBHUM,NON-COKING,300-600,INFERRED,2007,523.200
WEST BENGAL,BIRBHUM,NON-COKING,600-1200,INDICATED,2007,932.450
WEST BENGAL,BIRBHUM,NON-COKING,600-1200,INFERRED,2007,48.580
WEST BENGAL,DARJEELING,NON-COKING,0-300,INFERRED,2007,15.000
WEST BENGAL,RANIGANJ,MEDIUM COKING,0-300,PROVED,2007,194.700
WEST BENGAL,RANIGANJ,MEDIUM COKING,0-300,INDICATED,2007,1.600
WEST BENGAL,RANIGANJ,MEDIUM COKING,300-600,PROVED,2007,15.300
WEST BENGAL,RANIGANJ,MEDIUM COKING,300-600,INDICATED,2007,16.900
WEST BENGAL,RANIGANJ,SEMI-COKING,0-300,PROVED,2007,45.750
WEST BENGAL,RANIGANJ,SEMI-COKING,0-300,INDICATED,2007,14.190
