Detail Data For Coal Transport by Mode of Transportation Having Year : ALL
.
CoalCompany,CoalSector,CoalType,ModeOfTransport,YearValue,QtyInMillionTonnes,CoalCompanyId,CoalSectorId,CoalTypeId,ModeOfTransportId
SCCL,OTHER PUBLIC,RAW COAL,RAIL,2006,17.095,1,1,8,1
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,RAIL,2006,0.352,54,1,12,1
SCCL,OTHER PUBLIC,RAW COAL,RAIL,2008,21.692,1,1,8,1
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,RAIL,2008,0.589,54,1,12,1
SCCL,OTHER PUBLIC,RAW COAL,RAIL,2010,26.461,1,1,8,1
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,RAIL,2010,0.708,54,1,12,1
SAIL,OTHER PUBLIC,RAW COAL,RAIL,2010,0.058,24,1,8,1
WBPDCL,OTHER PUBLIC,RAW COAL,RAIL,2010,0.101,25,1,8,1
SCCL,OTHER PUBLIC,RAW COAL,RAIL,2012,26.954,1,1,8,1
DVC EMTA,OTHER PUBLIC,RAW COAL,RAIL,2012,1.169,41,1,8,1
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,RAIL,2012,0.533,54,1,12,1
WBPDCL,OTHER PUBLIC,RAW COAL,RAIL,2012,0.213,25,1,8,1
PANEM/PSEB,OTHER PUBLIC,RAW COAL,RAIL,2012,8.278,21,1,8,1
SCCL,OTHER PUBLIC,RAW COAL,RAIL,2014,25.993,1,1,8,1
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,RAIL,2014,0.666,54,1,12,1
SAIL,OTHER PUBLIC,RAW COAL,RAIL,2014,0.031,24,1,8,1
WBPDCL,OTHER PUBLIC,RAW COAL,RAIL,2014,2.422,25,1,8,1
KECML/KEMTA,OTHER PUBLIC,RAW COAL,RAIL,2014,2.472,33,1,8,1
PANEM/PSEB,OTHER PUBLIC,RAW COAL,RAIL,2014,5.852,21,1,8,1
SCCL,OTHER PUBLIC,RAW COAL,RAIL,2016,38.299,1,1,8,1
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,RAIL,2016,1.133,54,1,12,1
SCCL,OTHER PUBLIC,RAW COAL,RAIL,2007,18.574,1,1,8,1
SCCL,OTHER PUBLIC,COAL PRODUCT,RAIL,2007,0.000,1,1,12,1
JKML,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,12,1,8,1
JSMDCL,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,16,1,8,1
DVC,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,17,1,8,1
DVC EMTA,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,41,1,8,1
IISCO/SAIL,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,54,1,8,1
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,RAIL,2007,0.252,54,1,12,1
SAIL,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,24,1,8,1
APMDTCL,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,2,1,8,1
RRVUNL,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,11,1,8,1
RRVUNL,OTHER PUBLIC,COAL PRODUCT,RAIL,2007,0.000,11,1,12,1
WBMDTCL,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,42,1,8,1
WBPDCL,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,25,1,8,1
KECML/KEMTA,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,33,1,8,1
MPSMCL,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,30,1,8,1
PANEM/PSEB,OTHER PUBLIC,RAW COAL,RAIL,2007,0.000,21,1,8,1
SCCL,OTHER PUBLIC,RAW COAL,RAIL,2009,21.525,1,1,8,1
SCCL,OTHER PUBLIC,COAL PRODUCT,RAIL,2009,0.000,1,1,12,1
JKML,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,12,1,8,1
JSMDCL,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,16,1,8,1
DVC,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,17,1,8,1
DVC EMTA,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,41,1,8,1
IISCO/SAIL,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,54,1,8,1
IISCO/SAIL,OTHER PUBLIC,COAL PRODUCT,RAIL,2009,0.701,54,1,12,1
SAIL,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,24,1,8,1
APMDTCL,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,2,1,8,1
RRVUNL,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,11,1,8,1
RRVUNL,OTHER PUBLIC,COAL PRODUCT,RAIL,2009,0.000,11,1,12,1
WBMDTCL,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,42,1,8,1
WBPDCL,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,25,1,8,1
KECML/KEMTA,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,33,1,8,1
MPSMCL,OTHER PUBLIC,RAW COAL,RAIL,2009,0.000,30,1,8,1
