Detail Data For Vidyut Pravah Data Having Year : ALL
.
State,YearValue,MonthValue,DayValue,Shrotage_MW,MaxDemand_MW,FileName,DateInFile
PUNJAB,2019,10,1,0.000,6087.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
HARYANA,2019,10,1,0.000,7457.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
RAJASTHAN,2019,10,1,0.000,8998.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
DELHI,2019,10,1,0.000,4424.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
UP,2019,10,1,280.000,14929.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
UTTARAKHAND,2019,10,1,0.000,1760.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
HP,2019,10,1,0.000,1406.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
J&K,2019,10,1,525.000,2100.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
CHANDIGARH,2019,10,1,0.000,209.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
CHHATTISGARH,2019,10,1,36.000,3500.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
GUJARAT,2019,10,1,0.000,12554.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
MP,2019,10,1,0.000,7701.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
MAHARASHTRA,2019,10,1,0.000,18787.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
GOA,2019,10,1,0.000,541.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
DD,2019,10,1,0.000,307.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
DNH,2019,10,1,0.000,799.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
ESSAR STEEL,2019,10,1,0.000,355.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
ANDHRA PRADESH,2019,10,1,0.000,8214.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
TELANGANA,2019,10,1,0.000,8121.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
KARNATAKA,2019,10,1,0.000,9090.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
KERALA,2019,10,1,0.000,3456.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
TAMIL NADU,2019,10,1,0.000,13492.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
PONDY,2019,10,1,0.000,379.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
BIHAR,2019,10,1,0.000,4178.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
DVC,2019,10,1,0.000,2815.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
JHARKHAND,2019,10,1,0.000,1093.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
ODISHA,2019,10,1,0.000,3862.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
WEST BENGAL,2019,10,1,0.000,8105.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
SIKKIM,2019,10,1,0.000,94.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
ARUNACHAL PRADESH,2019,10,1,0.000,113.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
ASSAM,2019,10,1,135.000,1560.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
MANIPUR,2019,10,1,1.000,153.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
MEGHALAYA,2019,10,1,0.000,337.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
MIZORAM,2019,10,1,2.000,95.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
NAGALAND,2019,10,1,2.000,132.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
TRIPURA,2019,10,1,3.000,256.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
ALL INDIA,2019,10,1,1435.000,151523.000,NICSI_01-Oct-2019.csv,02/10/2019 09:00:00
PUNJAB,2019,10,2,0.000,5852.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
HARYANA,2019,10,2,0.000,6900.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
RAJASTHAN,2019,10,2,0.000,8702.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
DELHI,2019,10,2,0.000,3831.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
UP,2019,10,2,340.000,14788.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
UTTARAKHAND,2019,10,2,0.000,1437.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
HP,2019,10,2,0.000,1280.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
J&K,2019,10,2,571.000,2284.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
CHANDIGARH,2019,10,2,0.000,180.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
CHHATTISGARH,2019,10,2,0.000,3635.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
GUJARAT,2019,10,2,0.000,12538.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
MP,2019,10,2,0.000,7603.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
MAHARASHTRA,2019,10,2,0.000,18370.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
GOA,2019,10,2,0.000,541.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
DD,2019,10,2,0.000,289.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
DNH,2019,10,2,0.000,750.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
ESSAR STEEL,2019,10,2,0.000,320.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
ANDHRA PRADESH,2019,10,2,0.000,8214.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
TELANGANA,2019,10,2,0.000,7706.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
KARNATAKA,2019,10,2,0.000,7933.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
KERALA,2019,10,2,0.000,3404.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
TAMIL NADU,2019,10,2,0.000,12564.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
PONDY,2019,10,2,0.000,334.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
BIHAR,2019,10,2,0.000,4650.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
DVC,2019,10,2,0.000,2957.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
JHARKHAND,2019,10,2,0.000,1252.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
ODISHA,2019,10,2,0.000,3657.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
WEST BENGAL,2019,10,2,0.000,8036.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
SIKKIM,2019,10,2,0.000,74.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
ARUNACHAL PRADESH,2019,10,2,0.000,121.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
ASSAM,2019,10,2,68.000,1682.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
MANIPUR,2019,10,2,4.000,147.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
MEGHALAYA,2019,10,2,5.000,327.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
MIZORAM,2019,10,2,2.000,92.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
NAGALAND,2019,10,2,3.000,114.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
TRIPURA,2019,10,2,14.000,283.000,NICSI_02-Oct-2019.csv,03/10/2019 11:14:00
