Count_Inpatient,Count_Inpatient_Deceased_AsFractionOf_Count_Inpatient,Count_Outpatient,Count_Outpatient_AYUSH,Count_SurgicalProcedure_Major,Count_SurgicalProcedure_Minor,Date,District,lgdCode
34829,1.9,1197743,59967,2975,1019,2019-03,South Andaman,602
387680,0.6,7869346,274587,8214,74205,2019-03,Anantapur,502
412284,0.8,7709899,400535,12982,191610,2019-03,Chittoor,503
256443,0.7,5539051,332203,10640,41608,2019-03,Cuddapah,504
327813,2.7,7886123,78184,14101,124965,2019-03,East Godavari,505
274981,2.2,5997223,149872,14632,112257,2019-03,Guntur,506
198640,2.5,5372943,181114,15127,108607,2019-03,Krishna,510
308053,3.2,6413005,405386,18752,46720,2019-03,Kurnool,511
197278,0.5,4855493,131899,6841,42357,2019-03,Prakasam,517
199521,0.8,3908734,119154,9491,71136,2019-03,Srikakulam,519
315379,1.6,6755133,180188,23857,187649,2019-03,Vishakapatnam,520
226379,0.3,4023241,194824,3569,57388,2019-03,Vizianagaram,521
222325,0.9,6473947,126877,17216,87483,2019-03,West Godavari,523
446,0.4,19815,4823,0,90,2019-03,Anjaw,628
4500,0.1,93376,19020,719,967,2019-03,Changlang,229
112,0,9928,1525,0,97,2019-03,Dibang Valley,230
2341,0,40961,4474,0,21,2019-03,East Kameng,231
10000,1.5,125170,4510,1704,1437,2019-03,East Siang,232
758,0,7509,614,0,67,2019-03,Kra Daadi,677
1800,0,20792,381,0,361,2019-03,Kurung Kumey,233
2289,1.1,59070,5746,17,929,2019-03,Lohit,234
528,0.4,26612,5090,0,141,2019-03,Longding,666
1832,2,63427,2887,0,231,2019-03,Lower Dibang Valley,235
5061,0.5,53489,15217,24,1007,2019-03,Lower Subansiri,236
1071,0.2,57328,7000,18,246,2019-03,Namsai,678
28474,1.6,359552,27009,5116,3390,2019-03,Papum Pare,237
890,0,21396,897,0,318,2019-03,Siang,679
1674,1.1,59941,5771,2,332,2019-03,Tawang,238
1374,1.6,30441,8961,,706,2019-03,Tirap,239
1359,0,32383,3455,45,312,2019-03,Upper Siang,240
2286,0.8,64371,5000,73,259,2019-03,Upper Subansiri,241
2505,0.6,98046,4884,20,296,2019-03,West Kameng,242
1778,0.4,80291,6805,140,177,2019-03,West Siang,243
17898,0.2,614989,134388,0,1507,2019-03,Baksa,616
66384,0.4,1513087,102544,3426,1240,2019-03,Barpeta,280
19538,0.8,704085,35294,563,227,2019-03,Bongaigaon,281
108355,0.2,1836609,8730,5418,4406,2019-03,Cachar,282
8331,0.2,353540,2745,45,328,2019-03,Chirang,612
61267,0.5,1032043,75264,1194,534,2019-03,Darrang,283
18980,0.8,615862,51821,409,777,2019-03,Dhemaji,284
77318,0.4,1636417,299001,2856,941,2019-03,Dhubri,285
107906,0.2,2553955,32262,7737,1005,2019-03,Dibrugarh,286
13345,0.9,190326,19677,1041,642,2019-03,Dima Hasao,299
71374,0.5,1057679,244338,7019,4125,2019-03,Goalpara,287
65649,0.6,1245895,49321,2391,537,2019-03,Golaghat,288
37688,0.4,419492,10936,178,1414,2019-03,Hailakandi,289
61872,1.7,1646233,26114,9456,9631,2019-03,Jorhat,290
138479,0,1580690,174184,16216,7185,2019-03,Kamrup M,618
28081,0,1291558,323233,910,1140,2019-03,Kamrup R,291
29253,1,492857,72751,144,152,2019-03,Karbi Anglong,292
43775,1.4,903481,21937,1192,2522,2019-03,Karimganj,293
30594,1.6,564676,43023,3331,529,2019-03,Kokrajhar,294
63983,0.7,1113737,33285,579,327,2019-03,Lakhimpur,295
40773,0.4,1012444,71297,923,0,2019-03,Marigaon,296
91600,0.7,2335490,101485,597,1093,2019-03,Nagaon,297
26152,0.5,810160,173603,2030,469,2019-03,Nalbari,298
57739,0.6,1720221,18069,1050,2091,2019-03,Sibsagar,300
134863,0.2,3494357,116321,7910,1609,2019-03,Sonitpur,301
108763,0.4,1960854,22016,2336,1225,2019-03,Tinsukia,302
19743,0.6,891063,92824,46,458,2019-03,Udalguri,617
73538,0.1,1335223,225045,6053,13086,2019-03,Araria,188
19420,0,367425,160250,2078,3701,2019-03,Arwal,611
100437,0,1464137,216407,8630,31902,2019-03,Banka,190
62532,0.3,2105456,190665,299,981,2019-03,Begusarai,191
132281,1.5,1767766,321429,15893,35174,2019-03,Bhagalpur,192
114852,0.1,1546498,149806,3800,68675,2019-03,Bhojpur,193
34514,0.2,625939,170000,3162,8414,2019-03,Buxar,194
159491,0,3147745,539342,5840,29985,2019-03,Darbhanga,195
115441,0,2439489,502710,8219,28936,2019-03,East Champaran,213
149687,0,3358751,581867,16789,38476,2019-03,Gaya,196
96793,0.4,1179127,563338,6054,13296,2019-03,Gopalganj,197
68309,0,837983,109685,3953,13253,2019-03,Jamui,198
37109,0,808772,309990,3974,23954,2019-03,Jehanabad,199
78998,0.2,1071689,462006,1458,15583,2019-03,Kaimur Bhabua,200
98277,0.3,2293276,174463,8871,34394,2019-03,Katihar,201
79874,0.1,1317282,232960,7181,15322,2019-03,Khagaria,202
107195,0.3,1157235,93420,16741,39345,2019-03,Kishanganj,203
50464,0.1,617662,52611,4453,10753,2019-03,Lakhisarai,204
76164,0.1,1987606,263586,6757,12450,2019-03,Madhepura,205
139154,0.1,2927258,575320,8339,47847,2019-03,Madhubani,206
51052,0.1,1128585,85928,3233,15021,2019-03,Munger,207
132452,1.6,2886129,494721,13189,49405,2019-03,Muzaffarpur,208
161417,0,2794988,487251,13962,115418,2019-03,Nalanda,209
64596,0.4,1101016,176408,7541,15219,2019-03,Nawada,210
173052,5.3,3540048,476680,21355,36566,2019-03,Patna,212
