State,isoCode,Date,Count_InPatient,Count_OutPatient,Count_OutPatient,Count_SurgicalProcedure_Major,Count_SurgicalProcedure_Minor,Count_InPatient_Deceased_AsFractionOf_Count_InPatient,Count_OutPatient_Ayush
All India,IN,2018-03,75161065,,1492876134,4334356,11499953,0.8,110660947
A & N Islands,IN-AN,2018-03,51690,,1744255,3113,2194,1.6,122773
Andhra Pradesh,IN-AP,2018-03,3274749,,69703125,168786,882576,1.3,2805619
Arunachal Pradesh,IN-AR,2018-03,66991,,1264419,6466,10660,0.8,91349
Assam,IN-AS,2018-03,1374379,,31827450,75768,21897,0.5,2052206
Bihar,IN-BR,2018-03,4023188,,64078509,302097,1161438,0.5,11748587
Chandigarh,IN-CH,2018-03,239917,,6624248,76133,249627,4.4,255986
Chhattisgarh,IN-CT,2018-03,1448357,,19905006,33211,79967,0.7,997407
Dadra & Nagar Haveli,IN-DN,2018-03,76376,,1816962,7579,8490,1.3,25595
Daman & Diu,IN-DD,2018-03,20633,,800549,2187,1426,5.4,63696
Delhi,IN-DL,2018-03,2000317,,67123188,349283,806645,2.4,3855595
Goa,IN-GA,2018-03,134178,,1979740,7463,16037,0.4,99997
Gujarat,IN-GJ,2018-03,4377128,,67428952,131126,345361,0.3,3398857
Haryana,IN-HR,2018-03,1154738,,27376115,61605,63241,1.2,2326863
Himachal Pradesh,IN-HP,2018-03,601192,,13800985,35638,113998,0.7,2574
Jammu & Kashmir,IN-JK,2018-03,998450,,26130851,125943,581066,0.2,1531121
Jharkhand,IN-JH,2018-03,669164,,14553467,56810,208408,0.6,368842
Karnataka,IN-KA,2018-03,6519714,,90495697,438498,505309,0.7,3891804
Kerala,IN-KL,2018-03,3510005,,120423894,317955,563848,0.9,206845
Lakshadweep,IN-LD,2018-03,7751,,396439,537,5779,2.1,67060
Madhya Pradesh,IN-MP,2018-03,4413744,,49548275,122392,359009,0.6,2651203
Maharashtra,IN-MH,2018-03,5433918,,90946872,303680,458915,0.7,5871519
Manipur,IN-MN,2018-03,83862,,1294110,11418,41155,0.8,113676
Meghalaya,IN-ML,2018-03,311846,,4029859,13965,24300,1.1,325210
Mizoram,IN-MZ,2018-03,95378,,1332810,15975,29149,2.6,42553
Nagaland,IN-NL,2018-03,85421,,1068668,9150,41952,1.9,34689
Odisha,IN-OR,2018-03,2866551,,45375178,78870,685097,0.7,6325497
Puducherry,IN-PY,2018-03,233702,,8485075,31771,128639,1.3,903703
Punjab,IN-PB,2018-03,985579,,22349964,107901,325806,0.6,4039046
Rajasthan,IN-RJ,2018-03,5566920,,110256818,244387,610911,0.5,4077425
Sikkim,IN-SK,2018-03,41203,,1118439,2247,18988,1.6,21153
Tamil Nadu,IN-TN,2018-03,8504428,,232065172,458444,1844797,0.5,29068032
Telangana,IN-TG,2018-03,1958059,,36475505,94223,292226,1.2,2203977
Tripura,IN-TR,2018-03,441081,,4089652,13735,57531,1.3,352647
Uttar Pradesh,IN-UP,2018-03,6632464,,125680209,279750,394600,0.6,16681637
Uttarakhand,IN-UT,2018-03,348258,,7724120,25275,31040,0.4,814329
West Bengal,IN-WB,2018-03,6609734,,123561557,320975,527871,1.7,3221875
All India,IN,2016-03,47305774,1004073507,,3371026,7137093,1.0,57939518
A & N Islands,IN-AN,2016-03,37774,1403413,,3905,2971,1.9,45254
Andhra Pradesh,IN-AP,2016-03,1916718,45002678,,138742,446422,1.9,2596499
Arunachal Pradesh,IN-AR,2016-03,59763,1052932,,4116,9599,1.2,55287
Assam,IN-AS,2016-03,864299,21546746,,27713,16306,0.8,480165
Bihar,IN-BR,2016-03,2904824,52078098,,240411,926913,0.6,8759787
Chandigarh,IN-CH,2016-03,164359,4474787,,50678,163173,4.1,160074
Chhattisgarh,IN-CT,2016-03,930807,12080647,,40533,76877,1.0,574262
Dadra & Nagar Haveli,IN-DN,2016-03,64979,1023996,,3410,13131,0.8,12061
Daman & Diu,IN-DD,2016-03,12750,529665,,1068,940,2.0,50577
Delhi,IN-DL,2016-03,1322293,42359042,,228435,391565,2.1,1334740
Goa,IN-GA,2016-03,58957,1227485,,5271,4842,1.2,27759
Gujarat,IN-GJ,2016-03,2699911,29943738,,129903,248074,0.5,756654
Haryana,IN-HR,2016-03,761510,21898541,,30387,44476,0.4,1534441
Himachal Pradesh,IN-HP,2016-03,410651,8996202,,30580,61232,0.8,27960
Jammu & Kashmir,IN-JK,2016-03,818852,17951298,,92589,385758,0.2,1231963
Jharkhand,IN-JH,2016-03,427614,9884398,,41107,22312,0.8,206015
Karnataka,IN-KA,2016-03,3486148,53745504,,295758,322716,0.9,1772766
Kerala,IN-KL,2016-03,2561748,84400449,,231658,325366,0.9,649
Lakshadweep,IN-LD,2016-03,5189,341224,,266,5708,2.9,42412
Madhya Pradesh,IN-MP,2016-03,3275952,37626754,,114982,314140,0.7,1324687
Maharashtra,IN-MH,2016-03,3939730,67118936,,249369,265120,0.8,4526888
Manipur,IN-MN,2016-03,69407,976973,,9282,26055,0.7,70418
Meghalaya,IN-ML,2016-03,210144,2798871,,10647,13819,1.3,224654
Mizoram,IN-MZ,2016-03,80619,971883,,12126,23728,1.8,27635
Nagaland,IN-NL,2016-03,61312,799338,,8408,28458,1.9,23862
Odisha,IN-OR,2016-03,2058440,28926357,,97675,286823,1.1,4238017
Puducherry,IN-PY,2016-03,162381,6040078,,23797,60567,0.4,536826
Punjab,IN-PB,2016-03,665579,14038271,,89601,236320,0.7,1240184
Rajasthan,IN-RJ,2016-03,3554676,74051637,,179287,395676,0.6,1626342
Sikkim,IN-SK,2016-03,44236,779972,,2435,11401,1.6,17867
Tamil Nadu,IN-TN,2016-03,4025196,156998536,,364446,1206698,1.0,8153629
Telangana,IN-TG,2016-03,1347442,31788989,,116222,194128,1.3,1235477
Tripura,IN-TR,2016-03,353961,3151589,,13040,27197,1.3,246743
Uttar Pradesh,IN-UP,2016-03,3829464,84496444,,273155,285991,0.7,11969777
Uttarakhand,IN-UT,2016-03,280843,6724532,,21229,26469,0.8,422506
West Bengal,IN-WB,2016-03,3837246,76843504,,188795,266122,1.6,2384681
All India,IN,2011-03,31194986,640888301,,2178690,3889023,1.2,27935679
A & N Islands,IN-AN,2011-03,38310,1034467,,986,4027,2.9,15480
Andhra Pradesh Old,IN-AP,2011-03,2097598,45302552,,74131,319378,1.9,1960568
Arunachal Pradesh,IN-AR,2011-03,43590,920418,,1283,6663,1.9,46590
Assam,IN-AS,2011-03,740588,19332248,,29479,19740,1.1,275113
Bihar,IN-BR,2011-03,2448938,40732287,,104200,340750,0.3,858133
Chandigarh,IN-CH,2011-03,130934,3346662,,27905,57189,5.4,157052
Chhattisgarh,IN-CT,2011-03,508112,5909144,,17484,56042,2.4,2734
Dadra & Nagar Haveli,IN-DN,2011-03,59663,676471,,1820,4779,1.0,24744
Daman & Diu,IN-DD,2011-03,9517,501784,,1072,882,1.7,44801
Delhi,IN-DL,2011-03,716619,25027459,,139801,137160,2.9,487018
Goa,IN-GA,2011-03,68135,817707,,5580,4091,1.9,20110
Gujarat,IN-GJ,2011-03,821292,14479159,,41568,96215,1.9,112029
Haryana,IN-HR,2011-03,636299,12579495,,33505,38807,2.3,906665
Himachal Pradesh,IN-HP,2011-03,383345,9152646,,17507,41268,0.9,8305
Jammu & Kashmir,IN-JK,2011-03,610705,13297529,,43688,213843,0.3,621503
Jharkhand,IN-JH,2011-03,403518,10240760,,12268,27332,1.0,125350
Karnataka,IN-KA,2011-03,2148960,32728863,,149230,140690,0.9,488502
Kerala,IN-KL,2011-03,2370404,65871082,,168574,174726,0.7,1238
Lakshadweep,IN-LD,2011-03,4803,211397,,129,2728,2.6,29410
Madhya Pradesh,IN-MP,2011-03,2491033,18601016,,84681,196476,1.3,395652
Maharashtra,IN-MH,2011-03,1125367,5506233,,7970,10612,0.6,21377
Manipur,IN-MN,2011-03,46979,772128,,6951,14820,1.1,86334
Meghalaya,IN-ML,2011-03,155502,2756942,,8630,7237,1.9,117929
Mizoram,IN-MZ,2011-03,80364,1038017,,9742,27170,2.6,38905
Nagaland,IN-NL,2011-03,65716,670212,,3267,10345,0.9,21580
Odisha,IN-OR,2011-03,1304956,21206155,,79205,73715,1.4,2440726
Puducherry,IN-PY,2011-03,41628,3651315,,7758,30098,0.5,177529
Punjab,IN-PB,2011-03,645718,16301919,,94345,262546,0.8,916622
Rajasthan,IN-RJ,2011-03,2150099,38306432,,96459,189127,0.6,2612794
Sikkim,IN-SK,2011-03,23715,763551,,1622,8295,1.6,1640
Tamil Nadu,IN-TN,2011-03,3483230,134764658,,221925,734310,0.7,13041234
Tripura,IN-TR,2011-03,321775,2939241,,7181,17463,1.1,216977
Uttar Pradesh,IN-UP,2011-03,3000396,51488059,,540091,475372,2.3,643427
Uttarakhand,IN-UT,2011-03,255096,5184029,,20886,22510,0.9,361797
West Bengal,IN-WB,2011-03,1762082,34776264,,117767,122617,1.4,655811
All India,IN,2017-03,71254630,1497358093,,5118279,10580516,1.0,83237205
A & N Islands,IN-AN,2017-03,51312,1772983,,3349,4436,2.3,50824
Andhra Pradesh,IN-AP,2017-03,3578639,66631554,,285282,760037,1.6,3375310
Arunachal Pradesh,IN-AR,2017-03,66575,1374780,,5732,10189,1.3,77130
Assam,IN-AS,2017-03,1196967,31580295,,84087,19365,0.8,1307971
Bihar,IN-BR,2017-03,3954793,72837137,,340307,1172012,0.6,11567439
Chandigarh,IN-CH,2017-03,226396,6399946,,71763,223160,4.3,213137
Chhattisgarh,IN-CT,2017-03,1399653,18289209,,51364,107236,1.1,763153
Dadra & Nagar Haveli,IN-DN,2017-03,76189,1702736,,5554,10557,1.5,24876
Daman & Diu,IN-DD,2017-03,18735,822711,,2164,1566,1.5,68876
Delhi,IN-DL,2017-03,1972127,65243142,,355227,688835,2.2,2010189
Goa,IN-GA,2017-03,89384,2038921,,8583,15532,1.1,65799
Gujarat,IN-GJ,2017-03,4220074,48679001,,200628,329844,0.5,1195900
Haryana,IN-HR,2017-03,1107233,31577219,,59006,68556,0.9,2150494
Himachal Pradesh,IN-HP,2017-03,511121,12833374,,39678,107054,0.9,24031
Jammu & Kashmir,IN-JK,2017-03,988430,25517429,,122593,567652,0.3,1688106
Jharkhand,IN-JH,2017-03,650783,15060403,,59679,55218,0.8,347296
Karnataka,IN-KA,2017-03,4997489,79454696,,515232,509179,0.9,2513589
Kerala,IN-KL,2017-03,3477896,115511081,,345097,471838,1.0,5172
Lakshadweep,IN-LD,2017-03,6378,429019,,357,8354,2.7,46194
Madhya Pradesh,IN-MP,2017-03,4261831,51563727,,167354,392129,0.7,1683917
Maharashtra,IN-MH,2017-03,5081747,96160312,,328292,349957,0.8,6106030
Manipur,IN-MN,2017-03,89961,1360708,,13387,41329,0.6,101283
Meghalaya,IN-ML,2017-03,303792,4214485,,15396,19363,1.3,321615
Mizoram,IN-MZ,2017-03,103390,1393580,,15797,35458,2.5,46846
Nagaland,IN-NL,2017-03,76901,1066296,,11455,43745,2.1,36193
Odisha,IN-OR,2017-03,2888870,41655372,,151533,431855,1.1,5697302
Puducherry,IN-PY,2017-03,208843,7961722,,31481,124722,0.4,822555
Punjab,IN-PB,2017-03,936074,22875669,,125270,348300,0.7,1855405
Rajasthan,IN-RJ,2017-03,5514104,114658182,,250191,522678,0.6,1300787
Sikkim,IN-SK,2017-03,44133,1072278,,2526,15757,3.3,26492
Tamil Nadu,IN-TN,2017-03,7259065,223521133,,468176,1673858,0.8,14586470
Telangana,IN-TG,2017-03,3079453,69373150,,166579,444800,0.9,2431111
Tripura,IN-TR,2017-03,426357,4153095,,17385,46161,1.4,298151
Uttar Pradesh,IN-UP,2017-03,5920988,132535255,,427985,418608,0.6,16528427
Uttarakhand,IN-UT,2017-03,393309,8474353,,25512,36000,0.8,609518
West Bengal,IN-WB,2017-03,6075638,117563140,,344278,505176,1.9,3289617
All India,IN,2013-03,43267923,916447130,,3800262,6074803,1.1,38100758
A & N Islands,IN-AN,2013-03,49389,1239924,,2563,3604,2.3,49097
Andhra Pradesh Old,IN-AP,2013-03,2056119,53485098,,409315,372386,2.0,2187606
Arunachal Pradesh,IN-AR,2013-03,57657,1355272,,4162,8972,1.6,72538
Assam,IN-AS,2013-03,1034018,23736087,,35740,25271,0.9,470715
Bihar,IN-BR,2013-03,4207909,74538606,,409312,1017803,0.5,11590186
Chandigarh,IN-CH,2013-03,178474,4599440,,55270,170173,4.8,209015
Chhattisgarh,IN-CT,2013-03,708118,9415718,,29339,77201,1.0,425160
Dadra & Nagar Haveli,IN-DN,2013-03,57940,885001,,2336,6063,1.1,18522
Daman & Diu,IN-DD,2013-03,12691,568295,,1654,1191,2.0,47810
Delhi,IN-DL,2013-03,1085159,36797517,,187992,254905,2.4,698473
