"Table (42) : Average wage/salary earnings (Rs. 0.00) during the preceding calendar month from regular wage/salaried  employment among the regular
wage/salaried employees in CWS for each State/ UT
",,,,,,,,,
"July-Sep,2020",,,,,,,,,
State \ UT,rural,urban,rural+urban,,,,,,
,male,female,person,male,female,person,male,female,person
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
Andhra Pradesh,14218.05,11592.92,13779.43,18183.21,12959.23,16751.56,16174.13,12476.82,15347.68
Arunachal Pradesh,26569.35,18453.8,24852.14,30703.26,24918.5,29321,28038.26,20988.14,26476.4
Assam,13611.13,8899.15,12320.97,24425.44,18771.03,23042.44,15554.42,10462.18,14186.02
Bihar,13511.43,6246.39,12963.17,21009.61,18491.04,20642.42,15616.53,11748.97,15243.88
Chhattisgarh,15912.63,7237.54,14940.03,18759.51,14456.52,17745.94,17285.46,12250.7,16398.06
Delhi,14703,30000,19866.57,22975.38,25649.31,23368.83,22887.22,25783.46,23320.92
Goa,24328.98,10741.9,24059.66,23724.62,21009.42,22806.4,23943.73,20783.4,23154.14
Gujarat,12007.09,9361.62,11327.08,17012.86,13144.52,16239.33,15097.25,11397.53,14272.9
Haryana,13961.6,16182.52,14385.52,23616.69,22178.65,23287.62,18929.72,19608.81,19072.91
Himachal Pradesh,26130.4,12887.09,21821.39,25352.69,14200.17,20854.09,25885.57,13401.48,21490.68
Jharkhand,12572.64,20855.36,14354.38,24500.78,18415.77,23370.95,18496.09,19755.71,18748.97
Karnataka,15324.16,8689.98,13173.98,24569.37,18385,22977.11,21940.67,14947.09,19998.46
Kerala,17971.48,16616.37,17460.85,22853.41,19855.55,21693.18,20481.7,18316.86,19654.5
Madhya Pradesh,11426.84,8964.87,10872.13,25785.23,16263.22,24096.57,21267.26,13471.62,19762.2
Maharashtra,11785.19,5428.07,10232.64,24661.49,20896.42,23742.03,21782.68,17437.89,20721.63
Manipur,26632.43,18709.97,25102.05,24835.44,19917.45,23338.38,26116.34,19222.08,24540.33
Meghalaya,15729.68,8392.95,12365.48,23512.43,22363.52,23092.69,18459.68,12145.55,15750.07
Mizoram,30141.2,17839.69,29078,30483.41,27904.17,29756.78,30322.82,26134.88,29478.4
Nagaland,24629.14,20970.86,23403.44,27903.89,27369.26,27752.16,25543.17,22464.38,24553.35
Odisha,19261.04,7984.79,16860.14,20021.49,17402.3,19403.16,19533.77,11655.71,17789.71
Punjab,13201.14,3719.49,10709.84,16597.99,14892.45,16271.87,15469.25,10103.37,14307.66
Rajasthan,14617.66,13878.69,14555.03,22889.48,18941.04,22234.77,19018.1,17469.26,18817.14
Sikkim,22706.27,16421.5,20535.94,25538.45,25999.21,25708.91,23649.16,19842.25,22302.48
Tamil Nadu,14328.99,7787.01,12103.58,17964.7,15072.04,17068.66,16661.46,12224.05,15237.13
Telangana,14150.5,5747.7,11109.03,22310.71,12927.33,20027.13,20656.55,10704.52,17961.16
Tripura,14546.4,13070.94,14182.09,22479.91,17019.43,20994.18,17926.72,14880.94,17141.37
Uttarakhand,13866.62,2425.63,12706.6,19267.45,18831.23,19174.92,16906.8,14803.3,16554.95
Uttar Pradesh,12617.19,6207.8,11704.57,17845.5,16948.45,17711.28,15735.24,12762.5,15299.08
West Bengal,10407.78,6556.46,9365.74,17327.84,9170.47,14778.9,13860.72,7993.13,12146.83
Andaman & N. Island,47255.22,12709.6,35342.3,36443.36,37153.76,36616.27,39642.65,27193.63,36199.99
Chandigarh,15244.64,4371.39,12620.33,17232.3,16912.78,17143.82,17085.17,16131.84,16823.56
Dadra & Nagar Haveli & Daman & Diu,14059.66,7402.05,12679.77,15608.93,13919.54,15355.34,15016.34,10801.99,14287.6
Jammu & Kashmir,27364.66,12387.78,23787.4,25935.82,22033.16,25080.56,26976.97,14797.42,24131.77
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Puducherry,12728.63,7865.05,9407.72,20681.69,21588.42,21002.04,19887.41,17413.83,18863.12
all India,14287.79,9408.78,13119.92,21067.54,16700.84,20030.22,18328.11,13736.86,17234.08
"estimated  no. of regular wage/salaried
employee (00)*",267743,84257,352000,394887,123033,517921,662630,207290,869920
"sample  no. of regular wage/salaried
employee*",2488,794,3282,19182,6241,25423,21670,7035,28705
