udise_district_code,udise_block_code,block_name
0818,udiseCode/081801,Aahor
2734,udiseCode/273410,Aajara
0903,udiseCode/090303,Aaku(Nehtor)
0919,udiseCode/091915,Aasafpur
0824,udiseCode/082401,Aasind
0943,udiseCode/094301,Aaspur-Deosara
2401,udiseCode/240107,Abdasa
3623,udiseCode/362308,Abdullapurmet
2211,udiseCode/221106,Abhanpur
0971,udiseCode/097107,Abholi
0321,udiseCode/032101,Abohar
1301,udiseCode/130104,Aboi
2218,udiseCode/221820,Abujhmad (Orcha)
0819,udiseCode/081902,Abu-Road
0915,udiseCode/091502,Acchnera
0106,udiseCode/010601,Achabal
2707,udiseCode/270701,Achalpur
2817,udiseCode/281707,Achamet
3607,udiseCode/360744,Achampet
3628,udiseCode/362812,Achampet
2815,udiseCode/281541,Achanta
3303,udiseCode/330310,Acharapakkam
0932,udiseCode/093209,Achhalda
0304,udiseCode/030404,Adampur
0612,udiseCode/061201,Adampur
1002,udiseCode/100201,Adapur
3629,udiseCode/362923,Adavi Devula Palli
3620,udiseCode/362016,Addagudur
3607,udiseCode/360726,Addakal
3625,udiseCode/362507,Addakal
3625,udiseCode/362518,Addakal
2818,udiseCode/281816,Addanki
2814,udiseCode/281403,Addateegala
1031,udiseCode/103103,Adhaura
3601,udiseCode/360108,Adilabad (Rural)
3601,udiseCode/360109,Adilabad (Urban)
3209,udiseCode/320901,Adimaly
2821,udiseCode/282123,Adoni
2821,udiseCode/282171,Adoni
3212,udiseCode/321201,Adoor
3302,udiseCode/330209,Adyar
0903,udiseCode/090301,Afzalgrah
2904,udiseCode/290402,Afzalpur
2822,udiseCode/282262,Agali
3206,udiseCode/320601,Agali
2124,udiseCode/212401,Agalpur
2322,udiseCode/232208,Agar
2351,udiseCode/235108,Agar
1601,udiseCode/160101,Agartala Municipal Coorporation
3330,udiseCode/333002,Agastheeswaram
0911,udiseCode/091131,Agauta
1304,udiseCode/130404,Aghunato
1029,udiseCode/102914,Agiaon
2816,udiseCode/281622,Agiripalli
1802,udiseCode/180202,Agomoni
0612,udiseCode/061202,Agroha
2728,udiseCode/272809,Ahamadpur
2712,udiseCode/271206,Aheri
0961,udiseCode/096113,Ahiraula
0925,udiseCode/092506,Ahirori
0316,udiseCode/031601,Ahmedgarh (Malerkotla-2)
1311,udiseCode/131107,Ahthibung
2423,udiseCode/242301,Ahwa
1503,udiseCode/150307,Aibawk
2814,udiseCode/281449,Ainavilli
0942,udiseCode/094210,Airayan
0932,udiseCode/093204,Airwakatra
0106,udiseCode/010602,Aishmuqam
3626,udiseCode/362607,Aiza
2310,udiseCode/231001,Ajaigarh
0932,udiseCode/093202,Ajitmal
0821,udiseCode/082115,Ajmer(U)
0302,udiseCode/030201,Ajnala
2206,udiseCode/220601,Akaltara
0933,udiseCode/093301,Akbarpur
0948,udiseCode/094801,Akbarpur
1036,udiseCode/103601,Akbarpur
0949,udiseCode/094924,Akhandnagar
