StateName,DistrictName,Month,Year,StationName,SurfaceWaterStationLatitude,SurfaceWaterStationLongitude,Dichlorophenoxyacetic-acid(24D),Silver(Ag),Aluminium(Al),Aldrin,Alkalinity-Phenolphthalein,Arsenic(As),Boron(B),BiochemicalOxygenDemand,cyanides(CN),Carbonate(CO3),Calcium(Ca),Cadimum(Cd),ChemicalOxygenDemand,Chlorophyll-a,Chloride(Cl),ColourCode,Chromium(Cr),Copper(Cu),DisolvedOxygen(DO),DisolvedOxygenSaturation(DO_SATURATION),Dichlorodiphenyltrichloroethane,Dieldrin,ElectricalConductivity,Endosulfan,Fluorine(F),FaecalColiform-MPN,Iron(Fe),HardnessCalcium,HardnessTotal,Hydrogencarbonate(HCO3),Mercury(Hg),Potassium(K),Magnesium(Mg),Manganese(Mn),ammonia(NH3),Nitrateandnitrite(NO2+NO3),Nitrate(NO3),Nitrate-Nitrogen(NO3-N),Sodium(Na),Sodium%(Na%),Nickel(Ni),OdourCode(Odour_Code),Organic-N,Lead(Pb),Phenols,Phosphorus-Tot,ResidualSodiumCarbonate,Sodiumabsorptionratio(SAR),Sulfate(SO4),Selenium(Se),Secchi,Silicondioxide(SiO2),Silicate(SiO3),SuspendedSolids,AlkalinityTotal,Temperature(Temp),TotalColiformOrganism,TotalDissolvedSolids,TotalOrganicCarbon,TotalSolids,Turbidity,Zinc(Zn),benzenehexachloride,orthophosphate,PotentialofHydrogen(pH),PotentialofHydrogenFLD(pH_FLD),ObsMonth,LGDCode,dcid,LatLong,StationNameLong
Assam,Cachar,2023-01,2008,Dholai,24.58611111,92.84222222,,,,,,,,,,,58.8,,,,19.88,,,,,,,,,,,,,,,136.6,,,,,,,,,,,,,,,,,,,,,147.0,,,,,,,111.0,,,,,,,7.51,,2008-01,282,indiaWris/282_Dholai,[LatLong 24.58611 92.84222],"Dholai, Cachar, Assam"
Assam,Hailakandi,2023-07,2006,Matijuri,24.64805556,92.61138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,8.0,,2006-07,289,indiaWris/289_Matijuri,[LatLong 24.64806 92.61139],"Matijuri, Hailakandi, Assam"
Assam,Kamrup,2023-07,2007,Kulsi,25.97916667,91.39166667,,,,,,,,,,,,,,,,,,,,,,,27.1,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,27.0,,,8.0,,,,6.6,,2007-07,291,indiaWris/291_Kulsi,[LatLong 25.97917 91.39167],"Kulsi, Kamrup, Assam"
Assam,Karimganj,2023-07,2006,Badarpurghat,24.86666667,92.51666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,8.0,,2006-07,293,indiaWris/293_Badarpurghat,[LatLong 24.86667 92.51667],"Badarpurghat, Karimganj, Assam"
Assam,Kokrajhar,2023-12,2008,Kokrajhar,26.39694444,90.255,,,,,,,,,,,,,,,3.905,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,52.0,,,1.0,,,,7.05,,2008-12,294,indiaWris/294_Kokrajhar,[LatLong 26.39694 90.25500],"Kokrajhar, Kokrajhar, Assam"
Assam,Kokrajhar,2023-10,2010,Kokrajhar,26.39694444,90.255,,,,,,,,0.3,,,,,,,1.51,,,,,,,,116.0,,,,,,,,,2.0,,,,,,,3.1,,,,,,,,,,,,,,,,,,,52.0,,,1.2,,,,7.5,,2010-10,294,indiaWris/294_Kokrajhar,[LatLong 26.39694 90.25500],"Kokrajhar, Kokrajhar, Assam"
Bihar,Madhubani,2023-10,2015,Jainagar,26.57138889,86.22583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,179.0,,,,,,,,,2015-10,206,indiaWris/206_Jainagar,[LatLong 26.57139 86.22583],"Jainagar, Madhubani, Bihar"
Chhattisgarh,Bilaspur,2023-03,2004,Rampur,21.64719167,82.51616389,,,,,0.0,,,0.54,,0.0,36.0,,,,15.0,,,,6.77,,,,289.0,,,,,,110.4,167.8,,,4.9572,,,,,,,,,,,,,,0.545956,,2.98,,90.0,,,,275.0,,,,,,,,,,8.2,8.2,2004-03,375,indiaWris/375_Rampur,[LatLong 21.64719 82.51616],"Rampur, Bilaspur, Chhattisgarh"
Gujarat,Amreli,2023-05,2019,Lowara,21.44333333,71.56166667,,,,,,,,,,,,,,,,,,,,,,,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,203.0,,,,,,,,,2019-05,439,indiaWris/439_Lowara,[LatLong 21.44333 71.56167],"Lowara, Amreli, Gujarat"
Jharkhand,Ramgarh,2023-04,2011,Ramgarh,23.64166667,85.51305556,,,,,,,,,,0.0,31.1,,,,19.52,,,,,,,,,,,,,,,46.5,,,15.74,,,,,,,,,,,,,,,,31.68,,,,,,,,,,,,,,,,,8.0,2011-04,607,indiaWris/607_Ramgarh,[LatLong 23.64167 85.51306],"Ramgarh, Ramgarh, Jharkhand"
