ochaPCode,name,dcid,errors
CN061,"Shaanxi Province Province, China",wikidataId/Q46913,
CN031,"Shanghai Municipality Province, China",wikidataId/Q8686,
CN050,"Chongqing Municipality Province, China",wikidataId/Q11725,
CN033,"Zhejiang Province Province, China",wikidataId/Q16967,
CN036,"Jiangxi Province Province, China",wikidataId/Q57052,
CN053,"Yunnan Province Province, China",wikidataId/Q43194,
CN037,"Shandong Province Province, China",wikidataId/Q43407,
CN021,"Liaoning Province Province, China",wikidataId/Q43934,
CN054,"Tibet Autonomous Region Province, China",wikidataId/Q17269,
CN062,"Gansu province Province, China",,Missing dcid for placeId ChIJ5bRHsW5cTDYR2b_TuLO4yq8
CN081,"Hong Kong Special Administrative Region Province, China",country/HKG,
CN063,"Qinghai Province Province, China",wikidataId/Q45833,
CN011,"Beijing Municipality Province, China",wikidataId/Q956,
CN082,"Macao Special Administrative Region Province, China",country/MAC,
CN015,"Inner Mongolia Autonomous Region Province, China",wikidataId/Q41079,
CN042,"Hubei Province Province, China",wikidataId/Q46862,
CN034,"Anhui Province Province, China",wikidataId/Q40956,
CN052,"Guizhou Province Province, China",wikidataId/Q47097,
CN064,"Ningxia Hui Autonomous Region Province, China",wikidataId/Q57448,
CN032,"Jiangsu Province Province, China",wikidataId/Q16963,
CN065,"Xinjiang Uygur Autonomous Region Province, China",wikidataId/Q34800,
CN014,"Shanxi Province Province, China",wikidataId/Q46913,
CN043,"Hunan Province Province, China",wikidataId/Q45761,
CN051,"Sichuan Province Province, China",wikidataId/Q19770,
CN045,"Guangxi Zhuang Autonomous Region Province, China",wikidataId/Q15176,
CN022,"Jilin Province Province, China",wikidataId/Q45208,
CN071,"Taiwan Province Province, China",wikidataId/Q32081,
CN013,"Hebei Province Province, China",wikidataId/Q21208,
CN012,"Tianjin Municipality Province, China",,Missing dcid for placeId ChIJF0mT4o_97TURbfN4fk2owic
CN044,"Guangdong Province Province, China",wikidataId/Q15175,
CN035,"Fujian Province Province, China",wikidataId/Q41705,
CN023,"Heilongjiang Province Province, China",wikidataId/Q19206,
CN041,"Henan Province Province, China",wikidataId/Q43684,
CN046,"Hainan Province Province, China",wikidataId/Q42200,
CN065100,"Karamay Prefecture, China",wikidataId/Q658240,
CN065060,"Changji Hui Autonomous Prefecture Prefecture, China",wikidataId/Q989898,
CN065130,"Shihezi Prefecture, China",wikidataId/Q848680,
CN015120,"Xilingol League Prefecture, China",wikidataId/Q573124,
CN021020,"Benxi Prefecture, China",wikidataId/Q75091,
CN062040,"Jiayuguan Prefecture, China",wikidataId/Q532560,
CN037070,"Laiwu Prefecture, China",wikidataId/Q1198335,
CN042080,"Shennongjia Forestry District Prefecture, China",wikidataId/Q1359055,
CN042110,"Tianmen Prefecture, China",wikidataId/Q71468,
CN042020,"Ezhou Prefecture, China",wikidataId/Q71305,
CN042070,"Qianjiang Prefecture, China",wikidataId/Q71489,
CN042150,"Xiantao Prefecture, China",wikidataId/Q71455,
CN036070,"Pingxiang Prefecture, China",wikidataId/Q362865,
CN071010,"Taiwan province Prefecture, China",country/CHN,
CN044020,"Dongguan Prefecture, China",wikidataId/Q59218,
CN044200,"Zhongshan Prefecture, China",wikidataId/Q59223,
CN044210,"Zhuhai Prefecture, China",wikidataId/Q59095,
CN045020,"Beihai Prefecture, China",wikidataId/Q210365,
CN081010,"Hong Kong Special Administrative Region Prefecture, China",country/CHN,
CN033110,"Zhoushan Prefecture, China",wikidataId/Q58324,
CN065120,"Kizilsu Kirgiz Autonomous Prefecture Prefecture, China",wikidataId/Q861035,
CN065110,"Kashi Prefecture Prefecture, China",wikidataId/Q739890,
CN065020,"Aksu Prefecture Prefecture, China",wikidataId/Q421638,
CN065080,"Hotan Prefecture Prefecture, China",wikidataId/Q989885,
CN054040,"Ngari Prefecture Prefecture, China",wikidataId/Q577713,
CN054070,"Xigazê Prefecture, China",wikidataId/Q1211183,
CN054030,"Nagqu Prefecture Prefecture, China",wikidataId/Q1012460,
CN063080,"Yushu Tibetan Autonomous Prefecture Prefecture, China",country/CHN,
CN053030,"Dêqên Tibetan Autonomous Prefecture Prefecture, China",wikidataId/Q766073,
CN053100,"Nujiang Lisu Autonomous Prefecture Prefecture, China",wikidataId/Q767684,
CN053040,"Dali Bai Autonomous Prefecture Prefecture, China",country/CHN,
CN053050,"Dehong Dai and Jingpo Autonomous Prefecture Prefecture, China",wikidataId/Q999132,
CN053010,"Baoshan Prefecture, China",wikidataId/Q496576,
CN053090,"Lincang Prefecture, China",wikidataId/Q496837,
CN053110,"Pu'er Prefecture, China",wikidataId/Q496765,
