REG_ID,Region,Year,Count_Person_PerArea,Area
AT11,dcid:nuts/AT11,"2001",73.0,3780.0
AT11,dcid:nuts/AT11,"2002",73.19,3780.0
AT11,dcid:nuts/AT11,"2003",73.16,3780.0
AT11,dcid:nuts/AT11,"2004",73.23,3780.0
AT11,dcid:nuts/AT11,"2005",73.55,3780.0
AT11,dcid:nuts/AT11,"2006",73.84,3780.0
AT11,dcid:nuts/AT11,"2007",74.09,3780.0
AT11,dcid:nuts/AT11,"2008",74.33,3780.0
AT11,dcid:nuts/AT11,"2009",74.81,3780.0
AT11,dcid:nuts/AT11,"2010",75.05,3780.0
AT11,dcid:nuts/AT11,"2011",75.29,3780.0
AT11,dcid:nuts/AT11,"2012",75.6,3780.0
AT11,dcid:nuts/AT11,"2013",75.84,3780.0
AT11,dcid:nuts/AT11,"2014",76.04,3780.0
AT11,dcid:nuts/AT11,"2015",76.28,3780.0
AT11,dcid:nuts/AT11,"2016",76.99,3780.0
AT11,dcid:nuts/AT11,"2017",77.23,3780.0
AT11,dcid:nuts/AT11,"2018",77.43,3780.0
AT11,dcid:nuts/AT11,"2019",77.63,3780.0
AT111,dcid:nuts/AT111,"2001",54.37,694.0
AT111,dcid:nuts/AT111,"2002",54.44,694.0
AT111,dcid:nuts/AT111,"2003",54.33,694.0
AT111,dcid:nuts/AT111,"2004",54.24,694.0
AT111,dcid:nuts/AT111,"2005",54.07,694.0
AT111,dcid:nuts/AT111,"2006",53.91,694.0
AT111,dcid:nuts/AT111,"2007",54.01,694.0
AT111,dcid:nuts/AT111,"2008",53.95,694.0
AT111,dcid:nuts/AT111,"2009",53.99,694.0
AT111,dcid:nuts/AT111,"2010",54.07,694.0
AT111,dcid:nuts/AT111,"2011",54.04,694.0
AT111,dcid:nuts/AT111,"2012",54.12,694.0
AT111,dcid:nuts/AT111,"2013",54.13,694.0
AT111,dcid:nuts/AT111,"2014",54.08,694.0
AT111,dcid:nuts/AT111,"2015",54.21,694.0
AT111,dcid:nuts/AT111,"2016",54.31,694.0
AT111,dcid:nuts/AT111,"2017",54.4,694.0
AT111,dcid:nuts/AT111,"2018",54.27,694.0
AT111,dcid:nuts/AT111,"2019",54.05,694.0
AT112,dcid:nuts/AT112,"2001",85.88,1635.0
AT112,dcid:nuts/AT112,"2002",86.27,1635.0
AT112,dcid:nuts/AT112,"2003",86.46,1635.0
AT112,dcid:nuts/AT112,"2004",86.83,1635.0
AT112,dcid:nuts/AT112,"2005",87.52,1635.0
AT112,dcid:nuts/AT112,"2006",88.2,1635.0
AT112,dcid:nuts/AT112,"2007",88.76,1635.0
AT112,dcid:nuts/AT112,"2008",89.47,1635.0
AT112,dcid:nuts/AT112,"2009",90.3,1635.0
AT112,dcid:nuts/AT112,"2010",90.87,1635.0
AT112,dcid:nuts/AT112,"2011",91.45,1635.0
AT112,dcid:nuts/AT112,"2012",92.05,1635.0
AT112,dcid:nuts/AT112,"2013",92.72,1635.0
AT112,dcid:nuts/AT112,"2014",93.3,1635.0
AT112,dcid:nuts/AT112,"2015",93.97,1635.0
AT112,dcid:nuts/AT112,"2016",95.3,1635.0
AT112,dcid:nuts/AT112,"2017",95.86,1635.0
AT112,dcid:nuts/AT112,"2018",96.54,1635.0
AT112,dcid:nuts/AT112,"2019",97.24,1635.0
AT113,dcid:nuts/AT113,"2001",67.4,1451.0
AT113,dcid:nuts/AT113,"2002",67.43,1451.0
AT113,dcid:nuts/AT113,"2003",67.18,1451.0
AT113,dcid:nuts/AT113,"2004",66.98,1451.0
AT113,dcid:nuts/AT113,"2005",67.14,1451.0
AT113,dcid:nuts/AT113,"2006",67.2,1451.0
AT113,dcid:nuts/AT113,"2007",67.17,1451.0
AT113,dcid:nuts/AT113,"2008",67.03,1451.0
AT113,dcid:nuts/AT113,"2009",67.31,1451.0
AT113,dcid:nuts/AT113,"2010",67.26,1451.0
AT113,dcid:nuts/AT113,"2011",67.23,1451.0
AT113,dcid:nuts/AT113,"2012",67.35,1451.0
AT113,dcid:nuts/AT113,"2013",67.22,1451.0
AT113,dcid:nuts/AT113,"2014",67.09,1451.0
AT113,dcid:nuts/AT113,"2015",66.92,1451.0
AT113,dcid:nuts/AT113,"2016",67.2,1451.0
AT113,dcid:nuts/AT113,"2017",67.16,1451.0
AT113,dcid:nuts/AT113,"2018",66.97,1451.0
AT113,dcid:nuts/AT113,"2019",66.81,1451.0
AT12,dcid:nuts/AT12,"2001",81.42,18907.0
AT12,dcid:nuts/AT12,"2002",81.7,18907.0
AT12,dcid:nuts/AT12,"2003",81.94,18907.0
AT12,dcid:nuts/AT12,"2004",82.37,18907.0
AT12,dcid:nuts/AT12,"2005",82.98,18907.0
AT12,dcid:nuts/AT12,"2006",83.59,18907.0
