VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_OOHC,dcs:country/AFG,2019,27.64811,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_HHS,dcs:country/AFG,2019,81.73,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC,dcs:country/AFG,2019,125.01835,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_RTL,dcs:country/AFG,2019,15.64025,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC,dcs:country/ALB,2019,126.07151,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_RTL,dcs:country/ALB,2019,15.64016,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_OOHC,dcs:country/ALB,2019,27.64795,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_HHS,dcs:country/ALB,2019,82.7834,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_RTL,dcs:country/DZA,2019,15.64025,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_OOHC,dcs:country/DZA,2019,27.6481,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_HHS,dcs:country/DZA,2019,91.01628,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC,dcs:country/DZA,2019,134.30463,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_OOHC,dcs:country/ASM,2019,27.64208,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_HHS,dcs:country/ASM,2019,75.69669,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC,dcs:country/ASM,2019,118.9756,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_RTL,dcs:country/ASM,2019,15.63684,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_HHS,dcs:country/AND,2019,84.22213,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_OOHC,dcs:country/AND,2019,25.55517,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC,dcs:country/AND,2019,122.58097,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_RTL,dcs:country/AND,2019,12.80367,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_OOHC,dcs:country/AGO,2019,27.64808,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC,dcs:country/AGO,2019,142.8796,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_HHS,dcs:country/AGO,2019,99.5913,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_RTL,dcs:country/AGO,2019,15.64023,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_HHS,dcs:country/ATG,2019,73.90935,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_OOHC,dcs:country/ATG,2019,25.56647,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_RTL,dcs:country/ATG,2019,12.80933,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC,dcs:country/ATG,2019,112.28515,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_RTL,dcs:country/AZE,2019,15.6402,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC,dcs:country/AZE,2019,136.33146,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_OOHC,dcs:country/AZE,2019,27.64802,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_HHS,dcs:country/AZE,2019,93.04324,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_RTL,dcs:country/ARG,2019,15.64024,dcs:SDG_KG,,dcs:SDG_E_A_G
dcs:sdg/AG_FOOD_WST_PC:FOOD_WASTE_SECTOR--FWS_OOHC,dcs:country/ARG,2019,27.64809,dcs:SDG_KG,,dcs:SDG_E_A_G
