VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/AG_LND_FRST,dcs:country/AFG,2000,1.85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/AFG,2010,1.85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/AFG,2015,1.85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/AFG,2016,1.85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/AFG,2017,1.85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/AFG,2018,1.85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/AFG,2019,1.85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/AFG,2020,1.85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/ALB,2000,28.08,dcs:SDG_PT,,dcs:SDG_E_I_G
dcs:sdg/AG_LND_FRST,dcs:country/ALB,2010,28.54,dcs:SDG_PT,,dcs:SDG_E_I_G
dcs:sdg/AG_LND_FRST,dcs:country/ALB,2015,28.8,dcs:SDG_PT,,dcs:SDG_E_I_G
dcs:sdg/AG_LND_FRST,dcs:country/ALB,2016,28.8,dcs:SDG_PT,,dcs:SDG_E_I_G
dcs:sdg/AG_LND_FRST,dcs:country/ALB,2017,28.79,dcs:SDG_PT,,dcs:SDG_E_I_G
dcs:sdg/AG_LND_FRST,dcs:country/ALB,2018,28.79,dcs:SDG_PT,,dcs:SDG_E_I_G
dcs:sdg/AG_LND_FRST,dcs:country/ALB,2019,28.79,dcs:SDG_PT,,dcs:SDG_E_I_G
dcs:sdg/AG_LND_FRST,dcs:country/ALB,2020,28.79,dcs:SDG_PT,,dcs:SDG_E_I_G
dcs:sdg/AG_LND_FRST,dcs:country/DZA,2000,0.66,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/DZA,2010,0.81,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/DZA,2015,0.82,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/DZA,2016,0.82,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/DZA,2017,0.82,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/DZA,2018,0.81,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/DZA,2019,0.81,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/DZA,2020,0.82,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/ASM,2000,88.65,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/ASM,2010,87.15,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/ASM,2015,86.4,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/ASM,2016,86.25,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/ASM,2017,86.1,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/ASM,2018,85.95,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/ASM,2019,85.8,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/ASM,2020,85.65,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_FRST,dcs:country/AND,2000,34.04,dcs:SDG_PT,,dcs:SDG_C_A_G
