VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/BHR,2019,100,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/MMR,2020,80,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/BLR,2021,100,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/COD,2019,64,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/DNK,2020,100,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/ECU,2021,68,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/FRA,2017,100,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/DEU,2021,100,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/HUN,2021,100,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/JAM,2021,85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/MWI,2019,45,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/MUS,2019,4,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/QAT,2021,0,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/VNM,2020,39,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/SWE,2020,100,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/CHE,2021,100,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/AG_LND_PSTCDSMG,dcs:country/UKR,2021,87,dcs:SDG_PT,,dcs:SDG_C_A_G
