VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2002,13.81827,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2003,0.65522,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2004,0.99134,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2005,17.96881,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2006,78.52524,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2007,76.41683,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2008,114.81802,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2009,195.46964,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2010,419.33847,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2011,336.54083,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2012,319.32778,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2013,275.31807,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2014,227.49197,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2015,257.4333,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2016,315.19215,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2017,241.45216,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2018,222.84999,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2019,201.71443,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2020,173.4741,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUS,2021,165.11348,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2002,11.00661,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2003,5.05337,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2004,10.71125,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2005,16.79333,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2006,18.3347,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2007,14.11081,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2008,32.9435,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2009,31.89889,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2010,17.91985,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2011,18.72026,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2012,16.86016,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2013,49.24825,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2014,22.98801,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2015,20.30848,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2016,22.96638,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2017,25.22566,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2018,24.13031,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2019,24.22665,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2020,23.37056,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/AUT,2021,32.53772,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2002,6.35676,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2003,6.22919,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2004,20.99246,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2005,28.54999,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2006,31.96305,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2007,61.83633,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2008,120.89887,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2009,168.5263,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2010,156.69778,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2011,164.54621,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2012,93.47081,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2013,166.09406,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2014,191.22694,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2015,231.38029,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2016,153.79518,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2017,212.8931,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2018,140.17121,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2019,106.17863,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2020,142.45482,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/BEL,2021,128.12634,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/CAN,2002,92.04592,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/CAN,2003,114.48231,[CON_USD 2021],,dcs:SDG_C_G
dcs:sdg/DC_ODA_BDVDL,dcs:country/CAN,2004,273.98239,[CON_USD 2021],,dcs:SDG_C_G
