VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/DC_OSSD_MPF,dcs:country/AFG,2016,0.10497,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/AFG,2017,0.03232,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/AFG,2018,14.16869,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/AFG,2019,78.11103,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/AFG,2020,60.71726,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/AFG,2021,0.58483,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/ALB,2016,146.15124,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/ALB,2017,5.41314,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/ALB,2018,2050.66567,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/ALB,2019,0.91794,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/ALB,2020,106.84636,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/ALB,2021,163.14834,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/DZA,2016,0.28364,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/DZA,2017,0.05636,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/DZA,2018,13.51473,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/DZA,2021,0.02747,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/AGO,2016,5.06572,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/AGO,2017,33.8847,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/AGO,2018,44.7482,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/AGO,2019,913.99962,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/AGO,2020,12.80108,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/AGO,2021,0.36273,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/ATG,2016,0.23197,dcs:SDG_USD,,dcs:SDG_G_G
dcs:sdg/DC_OSSD_MPF,dcs:country/ATG,2019,0.26036,dcs:SDG_USD,,dcs:SDG_G_G
