VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/DC_TRF_TOTDL,dcs:country/AZE,2014,15.88,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AZE,2015,12.96,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AZE,2016,13.43,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AZE,2017,18.78,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AZE,2018,28.36,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AZE,2019,25.95,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AZE,2020,44.38,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2000,1890.79,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2001,1207.7,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2002,768.23,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2003,2920.96,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2004,2352.22,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2005,5200.61,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2006,9002.89,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2007,10249.19,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2008,3828.23,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2009,3132.6,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2010,14531.35,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2011,18521.99,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2012,21906.49,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2013,23170.44,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2014,31974.5,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2015,13840.39,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2016,15123.88,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2017,265.91,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2018,397.86,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2019,5031.77,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2020,2894.48,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUS,2021,3546.44,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2000,1135.48,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2001,836.44,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2002,1910.05,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2003,1444.66,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2004,1351.73,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2005,4836.61,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2006,3454.63,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2007,20405.39,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2008,10831.46,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2009,3272.92,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2010,6371.67,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2011,8074.68,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2012,4797.29,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2013,1043.69,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2014,3474.87,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2015,4691.54203,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2016,3250.1,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2017,2254.0,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2018,2585.17,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2019,2741.11,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2020,-91.43,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/AUT,2021,2137.67,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2000,2280.53,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2001,303.92,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2002,1336.79,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2003,1221.01,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2004,815.86,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2005,3142.37,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2006,5308.25,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2007,3817.59,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2008,4424.97,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2009,3224.16,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2010,7895.86,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2011,1185.32,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2012,2702.99,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2013,10217.1,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2014,8724.64,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2015,3635.05,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2016,-11432.4,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2017,7728.48,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2018,3896.1,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2019,4316.2,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2020,4220.08,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BEL,2021,5536.48,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BGR,2010,40.49,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BGR,2011,48.38,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BGR,2012,39.95,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BGR,2013,49.65,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BGR,2014,48.67,dcs:SDG_USD,,dcs:SDG_C_G
dcs:sdg/DC_TRF_TOTDL,dcs:country/BGR,2015,40.93,dcs:SDG_USD,,dcs:SDG_C_G
