VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,1995,4.37868,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,1996,4.11797,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,1997,3.9088,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,1998,3.13838,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,1999,12.68072,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2000,10.82033,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2001,9.66513,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2002,8.6167,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2003,6.80367,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2004,6.21904,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2005,5.92769,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2006,5.47611,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2007,5.32935,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2008,4.94401,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2009,10.17933,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2010,13.57496,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2011,15.8564,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2012,17.9851,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2013,19.58188,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2014,22.54832,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/DP_DOD_DLD2_CR_CG_Z1,dcs:country/AUS,2015,24.83246,dcs:SDG_PT,,dcs:SDG_G_G
