VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/AND,2017,92.86,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/AND,2020,86.0,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/ATG,2020,0.0,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/ARG,2020,17.95,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/AUS,2020,87.65,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/AUT,2017,80.44,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/AUT,2020,81.77,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BIH,2017,5.79,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BIH,2020,30.58,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BWA,2017,50.0,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BWA,2020,78.0,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BRA,2017,63.25,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BRA,2020,71.02,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BLZ,2020,78.95,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BGR,2017,69.85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BGR,2020,65.56,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BDI,2020,100.0,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BLR,2020,88.88,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/CAN,2020,82.19,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/CHL,2017,85.64,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/CHL,2020,84.02,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/COD,2020,66.0,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/CRI,2020,68.48,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/HRV,2020,55.85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/CYP,2017,61.67,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/CYP,2020,61.4,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/CZE,2017,67.01,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/CZE,2020,88.19,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/BEN,2020,89.42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/DNK,2020,53.42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/DOM,2020,70.59,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/SLV,2017,43.33,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/SLV,2020,59.68,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/ETH,2020,96.77,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/EST,2017,100.0,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/EST,2020,75.65,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/FJI,2017,100.0,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/FJI,2020,100.0,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/FIN,2017,95.98,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/FIN,2020,96.84,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/FRA,2017,83.53,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/FRA,2020,78.93,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/GAB,2020,93.55,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/GEO,2020,92.0,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/DEU,2017,38.99,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/GRC,2017,49.25,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/GRC,2020,40.62,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/GIN,2017,80.89,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/GUY,2020,67.76,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/HUN,2017,57.66,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/EN_H2O_WBAMBQ,dcs:country/HUN,2020,59.33,dcs:SDG_PT,,dcs:SDG_C_A_G
