VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/EN_MWT_IMP,dcs:country/ALB,2013,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ALB,2014,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ALB,2015,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/DZA,2014,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/DZA,2015,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2000,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2001,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2002,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2003,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2004,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2005,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2006,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2007,5190.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2008,4630.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2009,240.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2010,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2011,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2012,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2013,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2014,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2015,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2016,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2017,2967.3,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2018,9214.7,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2019,9129.7,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2020,8770.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/AND,2021,8680.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2005,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2006,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2007,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2008,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2009,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2010,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2011,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2012,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2013,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2014,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2015,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2016,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2017,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2018,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ATG,2019,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ARG,2005,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ARG,2010,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/ARG,2019,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/BGD,2005,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/BGD,2009,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/BGD,2014,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/BMU,2010,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/BMU,2011,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/BMU,2012,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
dcs:sdg/EN_MWT_IMP,dcs:country/BMU,2013,0.0,dcs:SDG_T,,dcs:SDG_C_A_G
