VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_IMP_ADMNG,dcs:country/BLZ,2016,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_IMP_ADMNG,dcs:country/BGR,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_IMP_ADMNG,dcs:country/KHM,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_IMP_ADMNG,dcs:country/CYM,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_IMP_ADMNG,dcs:country/CHN,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_IMP_ADMNG,dcs:country/COL,2020,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_IMP_ADMNG,dcs:country/DNK,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_PLDV,dcs:country/DOM,2019,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_PLDV,dcs:country/EST,2017,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_IMP_ADMNG,dcs:country/FIN,2020,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_PLDV,dcs:country/ALA,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_PLA_DSG,dcs:country/GEO,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_IMP_ADMNG,dcs:country/DEU,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_PLDV,dcs:country/GTM,2017,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_PLDV,dcs:country/GUY,2020,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_IMP_ADMNG,dcs:country/IDN,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/EN_SCP_ECSYBA:LEVEL_STATUS--LI_IMP_ADMNG,dcs:country/JAM,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
