VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/EN_WBE_WTLP,dcs:country/AFG,2017,0.25,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/ALB,2017,0.19,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/DZA,2017,0.14,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/ASM,2017,0.65,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/AND,2017,0.88,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/AGO,2017,4.78,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/ATG,2017,0.92,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/AZE,2017,0.26,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/ARG,2017,4.38,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/AUS,2017,7.96,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/AUT,2017,0.25,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BHS,2017,7.05,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BHR,2017,0.19,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BGD,2017,57.7,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/ARM,2017,0.09,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BRB,2017,63.05,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BEL,2017,0.19,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BMU,2017,0.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BTN,2017,0.08,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BOL,2017,6.49,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BIH,2017,0.09,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BWA,2017,3.08,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BVT,2017,0.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BRA,2017,2.52,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BLZ,2017,7.69,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/IOT,2017,65.71,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/SLB,2017,6.52,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/VGB,2017,29.28,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BRN,2017,3.25,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BGR,2017,0.22,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/MMR,2017,1.99,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BDI,2017,0.91,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/KHM,2017,16.61,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CMR,2017,2.91,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CPV,2017,0.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CYM,2017,13.44,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CAF,2017,0.88,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/LKA,2017,9.02,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/TCD,2017,1.26,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CHL,2017,1.74,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CHN,2017,0.66,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CXR,2017,0.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CCK,2017,0.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/COL,2017,5.1,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/COM,2017,0.1,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/MYT,2017,0.24,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/COG,2017,26.81,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/COD,2017,10.11,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/COK,2017,0.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CRI,2017,0.76,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/HRV,2017,0.33,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CUB,2017,2.9,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CYP,2017,0.78,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/CZE,2017,0.16,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/BEN,2017,3.01,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/DNK,2017,0.91,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/DMA,2017,0.44,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/DOM,2017,0.9,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/ECU,2017,1.3,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/SLV,2017,0.32,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/GNQ,2017,1.78,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/ETH,2017,2.83,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/ERI,2017,0.3,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/EST,2017,4.23,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/FRO,2017,0.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/FLK,2017,0.26,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/SGS,2017,0.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/FJI,2017,1.48,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/FRA,2017,0.33,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/GUF,2017,2.01,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/EN_WBE_WTLP,dcs:country/PYF,2017,0.28,dcs:SDG_PT,,dcs:SDG_E_A_G
