VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/ALB,2015,43.2,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS_HH,dcs:country/ALB,2015,53.9,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS,dcs:country/ALB,2015,10.7,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/ALB,2015,53.9,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/AND,2015,20.0093,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/AZE,2015,438.07298,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/BHR,2015,9.5265,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_A,dcs:country/BHR,2015,0.0,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/BHR,2015,155.3075,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/BHR,2015,9.5265,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/BHR,2015,145.781,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/BGD,2015,456.25,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/BGD,2015,456.25,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/ARM,2015,810.665,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_B,dcs:country/BEL,2015,55.81,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/BEL,2015,281.73,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/BEL,2015,352.31,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/BEL,2015,352.31,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_D,dcs:country/BEL,2015,14.77,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/BMU,2015,2.96015,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/BIH,2015,8.6,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/BIH,2015,92.9,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS,dcs:country/BIH,2015,13.8,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/BIH,2015,8.6,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/BIH,2015,70.0,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS_HH,dcs:country/BIH,2015,84.0,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_A,dcs:country/BIH,2015,0.5,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/BRA,2015,40684.8134,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_A,dcs:country/BRA,2015,9938.45169,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/BRA,2015,15668.79102,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_B,dcs:country/BRA,2015,756.52568,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/BRA,2015,7987.31496,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/BRA,2015,12537.96814,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_D,dcs:country/BRA,2015,6924.95038,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/BGR,2015,426.074,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/BGR,2015,111.355,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS,dcs:country/BGR,2015,44.059,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_D,dcs:country/BGR,2015,7.791,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/BGR,2015,234.036,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS_HH,dcs:country/BGR,2015,278.094,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_F,dcs:country/BGR,2015,3.956,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_B,dcs:country/BGR,2015,14.107,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_A,dcs:country/BGR,2015,36.624,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/BGR,2015,80.209,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS,dcs:country/BLR,2015,568.05001,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/BLR,2015,166.21,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_A,dcs:country/BLR,2015,213.74,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/BLR,2015,947.99999,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_F,dcs:country/BLR,2015,0.7,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/BLR,2015,97.71,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_B,dcs:country/BLR,2015,31.18,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_D,dcs:country/BLR,2015,36.62,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/COL,2015,103.73226,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/COL,2015,1057.2119,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/COL,2015,869.24099,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/COL,2015,103.73226,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_A,dcs:country/COL,2015,88.841,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/CRI,2015,424.95811,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/CRI,2015,110.96,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/CRI,2015,110.96,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/CRI,2015,162.24753,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_D,dcs:country/HRV,2015,1.34,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS_HH,dcs:country/HRV,2015,210.57,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/HRV,2015,175.57,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/HRV,2015,64.47,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_B,dcs:country/HRV,2015,2.31,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_A,dcs:country/HRV,2015,1.0,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/HRV,2015,279.69,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/HRV,2015,68.12,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS,dcs:country/HRV,2015,35.0,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS,dcs:country/CZE,2015,335.3,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/CZE,2015,453.9,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/CZE,2015,1119.1,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_A,dcs:country/CZE,2015,3.4,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS_HH,dcs:country/CZE,2015,661.7,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/CZE,2015,326.5,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_D,dcs:country/DNK,2015,2.42,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/DNK,2015,208.424,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS_HH,dcs:country/DNK,2015,253.447,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/DNK,2015,51.397,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_F,dcs:country/DNK,2015,0.771,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_B,dcs:country/DNK,2015,7.994,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/DNK,2015,343.131,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/DNK,2015,75.268,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_A,dcs:country/DNK,2015,14.416,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS,dcs:country/DNK,2015,45.023,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/ECU,2015,83.78747,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_B,dcs:country/EST,2015,136.99,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/EST,2015,136.99,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/EST,2015,136.99,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/FIN,2015,296.0,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_B,dcs:country/FIN,2015,12.0,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/FIN,2015,308.0,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/FIN,2015,12.0,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/DEU,2015,5114.693,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_D,dcs:country/DEU,2015,66.094,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/DEU,2015,1116.562,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/DEU,2015,6231.255,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/DEU,2015,1050.468,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/HKG,2015,82.66638,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/HKG,2015,82.62988,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_A,dcs:country/HKG,2015,0.0365,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/HKG,2015,82.62988,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/HUN,2015,335.271,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS_HH,dcs:country/HUN,2015,417.299,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/HUN,2015,417.299,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_GTS,dcs:country/HUN,2015,82.028,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/IRN,2015,3109.435,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/IRN,2015,3109.435,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/IRQ,2015,627.10649,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/IRQ,2015,704.59601,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/KAZ,2015,467.49202,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/KAZ,2015,4234.98557,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_A,dcs:country/KAZ,2015,297.0005,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/KAZ,2015,5918.84,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/KAZ,2015,4234.98557,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--HH,dcs:country/JOR,2015,252.1,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_C,dcs:country/JOR,2015,30.32,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/JOR,2015,282.42,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/JOR,2015,30.32,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN:ACTIVITY--ISIC4_BTFXE,dcs:country/KOR,2015,1612.82,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
dcs:sdg/EN_WWT_GEN,dcs:country/KOR,2015,1612.82,dcs:SDG_M_M3_PER_YR,,dcs:SDG_CA_G
