VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/ALB,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/ALB,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/AZE,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/AZE,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/AUS,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/AUS,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/AUT,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/AUT,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/ARM,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/ARM,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/BEL,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/BEL,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/BTN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/BTN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/BIH,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/BIH,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/BWA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/BWA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/BRA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/BRA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/BGR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/BGR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_E_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_DISSEM,dcs:country/BDI,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/BDI,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/BLR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/BLR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMP,dcs:country/CMR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/CMR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/CAN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/CAN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/CHN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMP,dcs:country/CHN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/COL,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/COL,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/CRI,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/CRI,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/HRV,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/HRV,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/CYP,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/CYP,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/CZE,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/CZE,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/DNK,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/DNK,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMP,dcs:country/DOM,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/DOM,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/ECU,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/ECU,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/EST,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/EST,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/FJI,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/FJI,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/FIN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/FIN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/FRA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/FRA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/GEO,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/GEO,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/DEU,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/DEU,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/GHA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/GHA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/GRC,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/GRC,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/GTM,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_DISSEM,dcs:country/GTM,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/HUN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/HUN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/ISL,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/ISL,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/IND,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/IND,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/IDN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/IDN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/IRQ,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/IRQ,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/IRL,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/IRL,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/ISR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/ISR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/ITA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/ITA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/JPN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_DISSEM,dcs:country/JPN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/KAZ,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/KAZ,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/JOR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMP,dcs:country/JOR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/KEN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/KEN,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMP,dcs:country/LAO,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/LAO,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/LVA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/LVA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/LBR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMP,dcs:country/LBR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/LTU,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/LTU,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/LUX,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/LUX,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/MYS,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/MYS,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/MLT,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/MLT,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/MUS,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/MUS,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/MEX,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/MEX,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMPDISSE,dcs:country/MNG,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/MNG,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA,dcs:country/MDA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_DISSEM,dcs:country/MDA,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/ER_BDY_SEEA:LEVEL_STATUS--LS_COMP,dcs:country/MAR,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
