VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AFG,2010,1.21307,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AFG,2011,0.69503,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AFG,2012,0.67855,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AFG,2013,0.65562,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AFG,2014,0.64877,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AFG,2015,0.0,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AFG,2016,0.0,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AFG,2017,0.26929,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AFG,2018,2.6431,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AFG,2019,3.91706,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AFG,2020,1.54562,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/ALB,2010,0.0,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/ALB,2011,0.0,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/ALB,2012,117.55785,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/ALB,2013,65.81194,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/ALB,2014,45.07469,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/ALB,2015,0.0,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/ALB,2016,0.0,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/ALB,2017,0.0,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/ALB,2018,0.0,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/ALB,2019,0.0,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/ALB,2020,0.0,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2010,373.33064,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2011,465.0637,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2012,568.33123,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2013,589.75431,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2014,533.71378,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2015,308.08177,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2016,165.10428,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2017,222.28939,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2018,407.86788,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2019,312.45254,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2020,200.49045,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/DZA,2021,533.6895,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AGO,2010,48.55825,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AGO,2011,63.94214,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AGO,2012,71.42485,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AGO,2013,97.29394,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AGO,2014,85.929,dcs:SDG_USD,,dcs:SDG_E_A_G
dcs:sdg/ER_FFS_CMPT_PC_CD,dcs:country/AGO,2015,6.95808,dcs:SDG_USD,,dcs:SDG_E_A_G
