VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2000,10.55856,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2001,10.55856,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2002,10.55856,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2003,10.55856,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2004,24.59142,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2005,24.59142,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2006,24.59142,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2007,30.69903,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2008,30.69903,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2009,30.69903,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2010,58.92396,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2011,58.92396,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2012,58.92396,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2013,67.23069,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2014,67.23069,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2015,67.23069,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2016,67.28002,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2017,67.28002,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2018,67.28002,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2019,67.28002,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2020,67.28002,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2021,67.28002,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/ALB,2022,67.28002,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/DZA,2000,46.45057,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/DZA,2001,61.83593,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/DZA,2002,61.83593,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/DZA,2003,62.12585,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/DZA,2004,62.14227,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/DZA,2005,72.14227,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/DZA,2006,72.14227,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/ER_MRN_MPA,dcs:country/DZA,2007,72.14227,dcs:SDG_PT,,dcs:SDG_C_A_G
