VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/ALB,2009,25.83,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/ALB,2010,22.29,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/ALB,2011,23.43,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/ALB,2012,21.19,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/ALB,2013,21.05,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/ALB,2019,17.21,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/ALB,2020,17.37,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUS,2000,16.75,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUS,2001,16.94,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUS,2002,21.37,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUS,2003,20.08,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUS,2004,20.65,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUS,2005,19.35,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUS,2006,19.56,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUS,2008,20.81,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUS,2009,19.4,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUS,2010,20.73,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUS,2011,19.79,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUS,2012,20.19,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUS,2013,19.01,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUS,2014,21.56,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUS,2015,20.17,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUT,2000,11.16,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUT,2001,11.9,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUT,2002,11.4,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUT,2003,11.86,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC3_D,dcs:country/AUT,2004,11.5,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUT,2005,10.45,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUT,2006,10.19,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUT,2007,9.87,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUT,2008,8.64,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUT,2009,9.23,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUT,2010,8.75,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUT,2011,8.47,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUT,2012,8.35,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/NV_IND_SSIS:ACTIVITY--ISIC4_C,dcs:country/AUT,2013,8.57,dcs:SDG_PT,,dcs:SDG_C_A_G
