VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/AFG,2016,53,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/AFG,2016,53,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/AFG,2016,49,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/AFG,2020,54,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/AFG,2020,54,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/AFG,2020,51,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/AGO,2015,53,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/AGO,2015,49,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/AGO,2015,43,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/BTN,2012,40,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/BTN,2017,40,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/BTN,2017,39,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/BTN,2017,35,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/LKA,2016,37,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/LKA,2016,38,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/LKA,2016,37,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/LKA,2019,41,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/LKA,2019,42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/LKA,2019,41,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/COL,2010,42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/COL,2010,44,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/COL,2010,43,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/COL,2011,42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/COL,2011,43,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/COL,2011,44,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/COL,2012,42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/COL,2012,44,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/COL,2012,42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/COL,2013,42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/COL,2013,43,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/COL,2013,42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/COL,2014,43,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/COL,2014,41,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/COL,2014,42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--U,dcs:country/COL,2015,41,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI,dcs:country/COL,2015,42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/COL,2015,43,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SD_MDP_ANDI:LOCATION--R,dcs:country/COL,2016,42,dcs:SDG_PT,,dcs:SDG_C_A_G
