VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SE_GCEDESD_CUR,dcs:country/AFG,2020,0.612,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/DZA,2020,0.729,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/AND,2020,0.938,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/BHR,2020,0.943,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/BGD,2020,0.661,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/ARM,2020,0.701,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/BEL,2020,0.875,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/BRA,2020,0.938,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/BGR,2020,0.648,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/MMR,2020,0.901,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/BDI,2020,0.625,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/KHM,2020,0.823,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/CAN,2020,0.781,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/COL,2020,0.88,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/COD,2020,0.797,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/CUB,2020,1.0,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/CYP,2020,0.924,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/CZE,2020,0.471,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/DNK,2020,0.682,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/DOM,2020,0.872,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/EST,2020,0.833,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/FIN,2020,0.813,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/FRA,2020,0.991,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/PSE,2020,0.708,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/DEU,2020,0.904,dcs:SDG_IX,,dcs:SDG_C_G
dcs:sdg/SE_GCEDESD_CUR,dcs:country/HUN,2020,0.862,dcs:SDG_IX,,dcs:SDG_C_G
