VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_1,dcs:country/ALB,2018,1.07191,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_2,dcs:country/ALB,2018,1.17419,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_02,dcs:country/ALB,2018,2.0,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--AGG_2_3,dcs:country/ALB,2020,0.91184,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_3,dcs:country/ALB,2020,1.15123,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_2,dcs:country/ALB,2020,0.78184,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_3,dcs:country/ALB,2021,1.0422,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--AGG_2_3,dcs:country/ALB,2021,0.9142,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_2,dcs:country/ALB,2021,0.85507,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_02,dcs:country/ALB,2021,2.0,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_1,dcs:country/ALB,2021,0.83207,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_1,dcs:country/DZA,2000,1.03867,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_1,dcs:country/DZA,2001,1.03144,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_1,dcs:country/DZA,2002,1.02187,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_1,dcs:country/DZA,2003,1.01714,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_1,dcs:country/DZA,2004,1.01431,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_GPI_TCAQ:EDUCATION_LEVEL--ISCED11_1,dcs:country/DZA,2005,1.00861,dcs:SDG_RO,,dcs:SDG_C_G
