VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2000,0.85235,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2000,0.87781,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2009,0.80953,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2009,0.46376,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2012,0.96586,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2012,0.85464,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2018,0.77012,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2018,0.84506,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2019,0.68819,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_MATH,dcs:country/DZA,2007,0.70166,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/DZA,2015,1.31886,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/DZA,2015,1.29857,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/AZE,2006,1.48482,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/AZE,2006,1.04007,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/AZE,2009,0.90641,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/AZE,2009,1.30034,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_READ,dcs:country/AZE,2011,0.92174,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_READ,dcs:country/AZE,2016,1.10476,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_MATH,dcs:country/AZE,2019,0.83553,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ARG,2000,0.80251,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ARG,2000,0.76183,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ARG,2006,0.44919,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11A_0_G23+TYPE_OF_SKILL--SKILL_READ,dcs:country/ARG,2006,0.6217,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11A_0_G23+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ARG,2006,0.56898,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ARG,2006,0.70643,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_READ,dcs:country/ARG,2006,0.66279,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ARG,2006,0.48456,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ARG,2009,0.61241,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ARG,2009,0.38871,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ARG,2012,0.51406,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ARG,2012,0.43471,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ARG,2018,0.52343,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ARG,2018,0.61129,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/AUS,2000,0.92955,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/AUS,2000,0.95665,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/AUS,2003,0.93423,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11A_0_G23+TYPE_OF_SKILL--SKILL_MATH,dcs:country/AUS,2003,0.52361,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/AUS,2003,0.94265,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_MATH,dcs:country/AUS,2003,1.06106,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/AUS,2006,0.91509,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/AUS,2006,0.97038,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11A_0_G23+TYPE_OF_SKILL--SKILL_MATH,dcs:country/AUS,2007,0.45401,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_LGP_ACHI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_MATH,dcs:country/AUS,2007,1.05347,dcs:SDG_RO,,dcs:SDG_C_G
