VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SE_TOT_PRFL:EDUCATION_LEVEL--ISCED11_2+SEX--M+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2000,19.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SE_TOT_PRFL:EDUCATION_LEVEL--ISCED11_2+SEX--F+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2000,39.56,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SE_TOT_PRFL:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2000,36.61129,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SE_TOT_PRFL:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2000,29.7,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SE_TOT_PRFL:EDUCATION_LEVEL--ISCED11_2+SEX--F+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2000,40.27,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SE_TOT_PRFL:EDUCATION_LEVEL--ISCED11_2+SEX--M+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2000,32.79,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SE_TOT_PRFL:EDUCATION_LEVEL--ISCED11_2+SEX--F+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2009,56.36,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SE_TOT_PRFL:EDUCATION_LEVEL--ISCED11_2+SEX--M+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2009,30.95,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SE_TOT_PRFL:EDUCATION_LEVEL--ISCED11_2+SEX--F+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2009,33.67,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SE_TOT_PRFL:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2009,43.33176,dcs:SDG_PT,,dcs:SDG_C_G
