VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2000,0.41048,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2000,0.27339,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2009,0.41353,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2009,0.37906,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2012,1.03127,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2012,1.03566,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/ALB,2018,0.50815,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2018,0.74998,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_MATH,dcs:country/ALB,2019,0.70848,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_MATH,dcs:country/DZA,2007,0.70147,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_READ,dcs:country/DZA,2015,0.60507,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_2+TYPE_OF_SKILL--SKILL_MATH,dcs:country/DZA,2015,0.48916,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI:EDUCATION_LEVEL--ISCED11_1+TYPE_OF_SKILL--SKILL_READ,dcs:country/AZE,2011,1.02502,dcs:SDG_RO,,dcs:SDG_C_G
