VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/AUS,2012,0.88049,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/AUS,2012,0.81758,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/AUT,2012,0.78404,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/AUT,2012,0.81646,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/BEL,2012,0.84908,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/BEL,2012,0.85629,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/CAN,2012,0.74065,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/CAN,2012,0.79517,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/CHL,2015,0.3408,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/CHL,2015,0.42831,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/CYP,2012,0.83219,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/CYP,2012,0.89452,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/CZE,2012,0.80484,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/CZE,2012,0.73423,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/DNK,2012,0.84148,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/DNK,2012,0.80032,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/ECU,2017,0.42218,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/ECU,2017,0.41389,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/EST,2012,0.86314,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/EST,2012,0.87278,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/FIN,2012,0.87318,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/FIN,2012,0.87164,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/FRA,2012,0.7269,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/FRA,2012,0.66248,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/DEU,2012,0.63954,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/DEU,2012,0.66583,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/GRC,2015,0.77301,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/GRC,2015,0.75947,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/HUN,2017,0.672,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_LTRCY,dcs:country/HUN,2017,0.65413,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SE_TOT_SESPI_FS:AGE--Y16T65+TYPE_OF_SKILL--SKILL_NMRCY,dcs:country/IRL,2012,0.75263,dcs:SDG_RO,,dcs:SDG_C_G
