VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/AUT,2021,1.18,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2619R,dcs:country/AUT,2021,1.25,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:AGE--Y0T44+TYPE_OF_OCCUPATION--ISCO08_2619R,dcs:country/AUT,2022,0.76,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2619R,dcs:country/AUT,2022,1.28,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/AUT,2022,1.21,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:AGE--Y0T44+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/AUT,2022,0.63,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/BHR,2020,0.25,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/BIH,2021,1.26,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/HRV,2020,1.48,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2619R,dcs:country/HRV,2020,1.74,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/HRV,2021,1.5,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2619R,dcs:country/HRV,2021,1.73,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:AGE--Y0T44+TYPE_OF_OCCUPATION--ISCO08_2619R,dcs:country/HRV,2021,0.98,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:AGE--Y0T44+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/HRV,2021,0.5,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/CYP,2020,1.06,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2619R,dcs:country/CYP,2020,1.39,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:AGE--Y0T44+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/CYP,2021,1.37,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2619R,dcs:country/CYP,2021,1.43,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/CYP,2021,1.07,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:AGE--Y0T44+TYPE_OF_OCCUPATION--ISCO08_2619R,dcs:country/CYP,2021,1.08,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/CZE,2021,1.34,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:AGE--Y0T44+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/CZE,2022,0.45,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/CZE,2022,1.32,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2612,dcs:country/DNK,2019,1.3,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:SEX--F+TYPE_OF_OCCUPATION--ISCO08_2619R,dcs:country/DNK,2019,1.87,dcs:SDG_RO,,dcs:SDG_C_G
dcs:sdg/SG_DMK_JDC_LWR:AGE--Y0T44+TYPE_OF_OCCUPATION--ISCO08_2619R,dcs:country/DNK,2020,1.04,dcs:SDG_RO,,dcs:SDG_C_G
