VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/AZE,2020,3.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/ARM,2022,4.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/BOL,2020,5.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/BIH,2020,3.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/MMR,2020,1.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/BLR,2019,3.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/KHM,2021,6.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/CAF,2022,3.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/TCD,2021,4.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/CHL,2021,2.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/COL,2019,6.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/CRI,2021,3.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/BEN,2021,5.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/DOM,2022,3.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/ECU,2022,3.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/ETH,2022,6.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/GEO,2022,5.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/PSE,2021,1.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/DEU,2022,4.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/GHA,2020,1.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/GTM,2020,5.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/GUY,2021,2.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/HUN,2022,5.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/ITA,2019,4.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/CIV,2022,3.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/JOR,2019,1.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/KEN,2020,5.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/LBN,2022,1.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
dcs:sdg/SG_LGL_LNDFEMOD,dcs:country/LBR,2020,4.0,dcs:SDG_SCORE,,dcs:SDG_C_A_G
