VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/AUS,2016,71.9,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/AUS,2018,53.14425,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/AUT,2016,83.8,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/AUT,2018,61.20963,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/BEL,2016,77.7,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/BEL,2018,32.11534,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/CAN,2016,53.8,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/CAN,2018,56.4018,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/CHN,2016,88.9,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/CHN,2018,83.33333,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/CZE,2016,61.1,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/CZE,2018,52.77778,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/DNK,2016,56.4,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/DNK,2018,47.92999,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/FIN,2016,67.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/FIN,2018,79.58333,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/FRA,2016,60.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/FRA,2018,59.63295,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/DEU,2016,62.8,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/DEU,2018,65.67757,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/ISL,2016,100.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/ISL,2018,100.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/IRL,2016,68.8,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/IRL,2018,54.50227,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/ITA,2016,60.4,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/ITA,2018,68.45231,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/JPN,2016,75.9,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/JPN,2018,64.18976,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/KOR,2016,67.9,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/KOR,2018,52.29509,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/KWT,2016,40.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/LUX,2016,95.9,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/LUX,2018,43.5511,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/MCO,2016,88.9,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/MCO,2018,33.33333,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/NLD,2016,63.8,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/NLD,2018,55.65616,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/NZL,2016,58.2,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/NZL,2018,38.81816,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/NOR,2016,61.4,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/NOR,2018,61.95815,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/PRT,2016,73.4,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/PRT,2018,49.54906,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/ROU,2016,33.3,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/SAU,2016,66.7,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/SVK,2016,50.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/SVN,2016,33.3,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/SVN,2018,20.83333,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/ESP,2016,89.6,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/ESP,2018,63.88502,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/SWE,2016,54.4,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/SWE,2018,57.48915,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/CHE,2016,51.3,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/CHE,2018,59.51248,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/TUR,2016,0.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/GBR,2016,43.3,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/GBR,2018,38.67905,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/USA,2016,49.1,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SG_PLN_PRPOLRES,dcs:country/USA,2018,43.95089,dcs:SDG_PT,,dcs:SDG_CA_G
