VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SG_SCP_TOTLN,dcs:country/ALB,2019,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/ARG,2019,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/AUS,2022,7,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/BRB,2019,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/BEL,2021,34,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/BTN,2019,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/BGR,2021,15,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/LKA,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/TCD,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/CHL,2021,3,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/CHN,2019,3,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/COL,2019,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/COD,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/CRI,2021,12,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/HRV,2021,5,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/CUB,2020,8,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/CZE,2019,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/ECU,2020,6,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/SLV,2019,2,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/FIN,2020,4,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/FRA,2022,4,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/DEU,2021,33,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/GTM,2019,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/HND,2020,2,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/HUN,2022,50,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/IND,2019,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/IDN,2020,6,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/CIV,2019,4,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/JOR,2021,3,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/KOR,2019,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/LAO,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/LVA,2020,4,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/LTU,2019,2,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/MDV,2019,5,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/MUS,2022,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/MEX,2020,26,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/MNG,2019,2,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/MAR,2021,4,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/NLD,2020,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/NOR,2022,13,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/PAK,2019,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/PER,2020,4,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/PHL,2022,73,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/POL,2020,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/ROU,2020,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/LCA,2020,2,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/STP,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/SEN,2020,5,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/SRB,2022,7,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/SGP,2020,3,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/SVK,2021,13,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/SVN,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/ZAF,2022,16,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/SWE,2022,35,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/CHE,2022,15,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/THA,2021,2,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/ARE,2020,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/TUN,2021,4,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/TUR,2022,2,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/UKR,2021,1,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/GBR,2021,13,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
dcs:sdg/SG_SCP_TOTLN,dcs:country/USA,2022,5,dcs:SDG_NUMBER,,dcs:SDG_C_A_G
