VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2000,129.3,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2000,133.7,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2000,124.8,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2001,129.6,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2001,120.9,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2001,125.3,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2002,125.2,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2002,121.2,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2002,117.0,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2003,117.0,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2003,121.0,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2003,112.9,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2004,108.7,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2004,116.8,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2004,112.8,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2005,108.6,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2005,112.4,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2005,104.5,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2006,100.2,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2006,108.1,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2006,104.3,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2007,100.0,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2007,103.8,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2007,96.0,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2008,91.9,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2008,99.6,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2008,95.9,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2009,95.3,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2009,88.0,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2009,91.8,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2010,84.1,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2010,91.3,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2010,87.8,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2011,80.3,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2011,84.0,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2011,87.4,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2012,76.7,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2012,83.8,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2012,80.3,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2013,76.8,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2013,80.2,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2013,73.2,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2014,76.8,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2014,73.4,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2014,69.7,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2015,66.6,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2015,70.2,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2015,73.7,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2016,63.6,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2016,70.7,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2016,67.2,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2017,61.0,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2017,64.6,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2017,68.1,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2018,65.6,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2018,62.2,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2018,58.7,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2019,59.9,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2019,56.3,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2019,63.3,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2020,61.1,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4,dcs:country/AFG,2020,57.8,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2020,54.2,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--M,dcs:country/AFG,2021,59.1,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
dcs:sdg/SH_DYN_MORT:AGE--Y0T4+SEX--F,dcs:country/AFG,2021,52.2,dcs:SDG_PER_1000_LIVE_BIRTHS,,dcs:SDG_E_G
