VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/ALB,2009,74.5,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/ALB,2018,77.2,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/AGO,2016,62.5,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/BGD,2018,85.9,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/ARM,2010,80.7,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/ARM,2016,75.5,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/MMR,2016,81.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/BDI,2010,64.4,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/BDI,2017,60.3,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/KHM,2010,91.6,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/KHM,2014,92.9,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/CMR,2011,88.6,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/CMR,2018,66.9,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SH_FPL_INFMSR:AGE--Y15T49+SEX--F,dcs:country/TCD,2015,63.3,dcs:SDG_PT,,dcs:SDG_C_G
