VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SH_STA_ASAIRP,dcs:country/AFG,2019,269,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/ALB,2019,92,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/DZA,2019,52,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/AGO,2019,150,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/ATG,2019,20,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/AZE,2019,124,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/ARG,2019,28,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/AUS,2019,10,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/AUT,2019,18,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BHS,2019,11,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BHR,2019,69,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BGD,2019,146,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/ARM,2019,73,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BRB,2019,20,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BEL,2019,15,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BTN,2019,99,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BOL,2019,75,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BIH,2019,114,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BWA,2019,142,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BRA,2019,30,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BLZ,2019,43,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/SLB,2019,281,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BRN,2019,19,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BGR,2019,63,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/MMR,2019,186,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BDI,2019,207,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/BLR,2019,71,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/KHM,2019,167,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/CMR,2019,207,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/CAN,2019,8,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/CPV,2019,95,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/CAF,2019,315,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/LKA,2019,93,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/TCD,2019,228,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/CHL,2019,18,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/CHN,2019,95,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/COL,2019,32,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/COM,2019,165,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/COG,2019,177,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/COD,2019,216,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
dcs:sdg/SH_STA_ASAIRP,dcs:country/CRI,2019,18,dcs:SDG_PER_100000_POP,,dcs:SDG_E_G
