VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SH_XPD_EARN10,dcs:country/AFG,2007,4.84,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/AFG,2013,14.63,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/AFG,2016,23.84,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SH_XPD_EARN10,dcs:country/AFG,2020,26.08,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SH_XPD_EARN10,dcs:country/ALB,1996,7.39,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/ALB,2002,23.37,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/ALB,2005,19.51,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/ALB,2008,13.91,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/ALB,2012,16.72,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/ALB,2017,8.85,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/AGO,2008,12.26,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/AGO,2018,35.53,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/AZE,2002,6.97,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/AZE,2003,6.99,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/AZE,2004,7.63,dcs:SDG_PT,,dcs:SDG_G_G
dcs:sdg/SH_XPD_EARN10,dcs:country/AZE,2005,8.12,dcs:SDG_PT,,dcs:SDG_G_G
