VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/ALB,2005,6715.87,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/ALB,2005,7850.27,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/ALB,2005,7799.64,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/BGD,2010,3982.34,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/BGD,2010,4095.2,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/BGD,2010,2021.34,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/ARM,2010,8521.98,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/ARM,2010,8678.75,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/ARM,2010,7908.73,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/ARM,2013,8096.25,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/ARM,2013,8979.8,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/ARM,2013,9166.03,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/BOL,2008,6444.91,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/BOL,2008,5825.67,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/BOL,2008,6555.39,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/BGR,2007,3410.26,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/BGR,2007,7067.94,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/BGR,2007,7436.54,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/KHM,2009,2783.43,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/KHM,2009,2727.18,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/KHM,2009,2798.65,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/CMR,2014,5429.65,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/CMR,2014,6359.55,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/CMR,2014,6177.89,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/CAN,2001,31492.26,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/CAN,2001,15843.22,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/CAN,2001,27660.78,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/CAN,2006,33756.63,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/CAN,2006,38407.84,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/CAN,2006,20414.06,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/CAN,2011,63435.66,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/CAN,2011,55012.75,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/CAN,2011,29957.16,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/CAN,2016,74071.08,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP:SEX--M,dcs:country/CAN,2016,85122.26,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP:SEX--F,dcs:country/CAN,2016,42393.25,[CON_PPP_USD 2017],,dcs:SDG_C_A_G
dcs:sdg/SI_AGR_LSFP,dcs:country/BEN,2019,5055.19,[CON_PPP_USD 2017],,dcs:SDG_E_A_G
