VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SI_COV_CHLD,dcs:country/AFG,2020,0.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/AZE,2020,16.9,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/ARG,2016,84.6,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/ARG,2019,77.1,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/ARG,2020,79.6,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/ARG,2021,83.9,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/AUS,2016,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD:SEX--F,dcs:country/AUS,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/AUS,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD:SEX--M,dcs:country/AUS,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/AUT,2016,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/AUT,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD:SEX--M,dcs:country/AUT,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD:SEX--F,dcs:country/AUT,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BHR,2020,56.7,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BGD,2016,29.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BGD,2019,24.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BGD,2020,29.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BGD,2021,45.9,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/ARM,2016,21.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/ARM,2020,30.2,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BEL,2016,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD:SEX--M,dcs:country/BEL,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD:SEX--F,dcs:country/BEL,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BEL,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BMU,2020,4.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BTN,2020,13.5,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BOL,2016,65.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BOL,2020,66.2,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BOL,2021,64.1,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BWA,2016,5.5,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BWA,2020,4.2,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BRA,2020,67.7,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BRA,2021,65.9,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BLZ,2020,3.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BGR,2016,48.6,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/BGR,2020,48.6,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/MMR,2020,2.1,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/KHM,2020,4.5,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/CMR,2016,0.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/CMR,2019,1.8,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/CMR,2020,9.2,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/CAN,2016,39.7,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_CHLD,dcs:country/CAN,2020,39.7,dcs:SDG_PT,,dcs:SDG_E_A_G
