VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SI_COV_DISAB,dcs:country/AFG,2020,13.6,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB:SEX--F,dcs:country/ALB,2021,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB:SEX--M,dcs:country/ALB,2021,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/ALB,2021,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/DZA,2016,3.6,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/DZA,2020,3.6,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/ATG,2016,11.1,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/ATG,2017,8.1,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/ATG,2020,7.9,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/AZE,2016,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/AZE,2017,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/AZE,2018,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB:SEX--M,dcs:country/AZE,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/AZE,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB:SEX--F,dcs:country/AZE,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/ARG,2019,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/ARG,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB:SEX--F,dcs:country/ARG,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB:SEX--M,dcs:country/ARG,2020,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB:SEX--F,dcs:country/ARG,2021,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_DISAB,dcs:country/ARG,2021,100.0,dcs:SDG_PT,,dcs:SDG_E_A_G
