VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SI_COV_WKINJRY,dcs:country/AFG,2020,4.2,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/ALB,2008,34.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/ALB,2021,40.7,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/DZA,2019,53.8,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/AZE,2020,32.1,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/ARG,2015,48.9,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY:SEX--M,dcs:country/ARG,2020,49.7,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/ARG,2020,47.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY:SEX--F,dcs:country/ARG,2020,44.2,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY:SEX--F,dcs:country/ARG,2021,42.9,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY:SEX--M,dcs:country/ARG,2021,48.2,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/ARG,2021,46.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/AUS,2019,72.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/AUT,2019,77.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BHS,2020,67.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BHR,2019,62.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BHR,2020,62.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BGD,2019,12.5,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/ARM,2020,53.2,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BRB,2009,65.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BEL,2019,63.1,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BMU,2019,32.2,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BTN,2020,28.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BOL,2019,16.0,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BOL,2020,24.6,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BWA,2019,43.1,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BRA,2010,42.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BRA,2020,48.7,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY:SEX--F,dcs:country/BRA,2020,50.7,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY:SEX--M,dcs:country/BRA,2020,46.9,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BLZ,2009,67.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY,dcs:country/BLZ,2020,71.4,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY:SEX--M,dcs:country/BLZ,2020,71.9,dcs:SDG_PT,,dcs:SDG_E_A_G
dcs:sdg/SI_COV_WKINJRY:SEX--F,dcs:country/BLZ,2020,70.6,dcs:SDG_PT,,dcs:SDG_E_A_G
