VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--F,dcs:country/AFG,2020,11.7,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17,dcs:country/AFG,2020,13.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--M,dcs:country/AFG,2020,14.2,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14,dcs:country/ALB,2010,3.3,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14+SEX--F,dcs:country/ALB,2010,3.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14+SEX--M,dcs:country/ALB,2010,3.6,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17,dcs:country/DZA,2019,2.5,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--F,dcs:country/DZA,2019,2.0,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--M,dcs:country/DZA,2019,2.9,dcs:SDG_PT,,dcs:SDG_C_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17,dcs:country/AGO,2016,18.724,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--M,dcs:country/AGO,2016,16.6,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--F,dcs:country/AGO,2016,19.87,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--M,dcs:country/BGD,2019,8.8,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17,dcs:country/BGD,2019,6.8,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--F,dcs:country/BGD,2019,4.6,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17,dcs:country/ARM,2015,4.1,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--F,dcs:country/ARM,2015,3.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--M,dcs:country/ARM,2015,5.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14,dcs:country/BRB,2012,1.354,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14+SEX--F,dcs:country/BRB,2012,0.944,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14+SEX--M,dcs:country/BRB,2012,1.776,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14+SEX--M,dcs:country/BTN,2010,2.816,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14+SEX--F,dcs:country/BTN,2010,4.156,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14,dcs:country/BTN,2010,3.503,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--M,dcs:country/BOL,2019,14.0,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17,dcs:country/BOL,2019,13.6,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--F,dcs:country/BOL,2019,13.2,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17,dcs:country/BRA,2015,5.4,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--F,dcs:country/BRA,2015,5.3,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--M,dcs:country/BRA,2015,5.4,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--F,dcs:country/BLZ,2013,2.6,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--M,dcs:country/BLZ,2013,3.9,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17,dcs:country/BLZ,2013,3.3,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14,dcs:country/SLB,2015,17.86,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14+SEX--F,dcs:country/SLB,2015,18.64,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T14+SEX--M,dcs:country/SLB,2015,17.12,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17,dcs:country/MMR,2015,9.9,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--F,dcs:country/MMR,2015,9.7,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--M,dcs:country/MMR,2015,10.2,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17,dcs:country/BDI,2017,30.922,dcs:SDG_PT,,dcs:SDG_CA_G
dcs:sdg/SL_TLF_CHLDEC:AGE--Y5T17+SEX--M,dcs:country/BDI,2017,29.66,dcs:SDG_PT,,dcs:SDG_CA_G
