VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD,dcs:country/AFG,2021,10.43,dcs:SDG_PT,,dcs:SDG_C_U_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD,dcs:country/AFG,2021,13.2,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--M,dcs:country/AFG,2021,12.15,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--M,dcs:country/AFG,2021,9.17,dcs:SDG_PT,,dcs:SDG_C_U_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--F,dcs:country/AFG,2021,19.26,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--M,dcs:country/AFG,2021,12.11,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--F,dcs:country/AFG,2021,19.29,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS,dcs:country/AFG,2021,13.16,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--M,dcs:country/AUT,2004,6.9,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--F,dcs:country/AUT,2004,6.86,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--F,dcs:country/AUT,2004,6.12,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--M,dcs:country/AUT,2004,23.65,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS,dcs:country/AUT,2004,6.88,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD,dcs:country/AUT,2004,6.11,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--F,dcs:country/AUT,2004,25.06,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD,dcs:country/AUT,2004,24.21,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--M,dcs:country/AUT,2004,6.1,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--M,dcs:country/AUT,2005,4.53,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD,dcs:country/AUT,2005,5.14,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--F,dcs:country/AUT,2005,26.21,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--F,dcs:country/AUT,2005,6.66,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD,dcs:country/AUT,2005,22.42,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--M,dcs:country/AUT,2005,19.88,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS,dcs:country/AUT,2005,5.8,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--F,dcs:country/AUT,2005,5.94,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--M,dcs:country/AUT,2005,5.15,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--M,dcs:country/AUT,2006,30.28,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD,dcs:country/AUT,2006,7.28,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS,dcs:country/AUT,2006,8.07,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--M,dcs:country/AUT,2006,6.61,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--F,dcs:country/AUT,2006,8.69,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD,dcs:country/AUT,2006,28.25,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--F,dcs:country/AUT,2006,8.15,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--M,dcs:country/AUT,2006,7.6,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--F,dcs:country/AUT,2006,24.82,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS,dcs:country/AUT,2007,7.84,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--M,dcs:country/AUT,2007,5.92,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--F,dcs:country/AUT,2007,8.74,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--M,dcs:country/AUT,2007,7.15,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--F,dcs:country/AUT,2007,25.41,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD,dcs:country/AUT,2007,30.39,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD,dcs:country/AUT,2007,6.85,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--M,dcs:country/AUT,2007,33.71,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--F,dcs:country/AUT,2007,8.07,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--M,dcs:country/AUT,2008,39.69,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--F,dcs:country/AUT,2008,24.3,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--F,dcs:country/AUT,2008,5.87,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS,dcs:country/AUT,2008,6.1,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD,dcs:country/AUT,2008,33.2,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--M,dcs:country/AUT,2008,5.75,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD,dcs:country/AUT,2008,5.03,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--F,dcs:country/AUT,2008,6.55,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--M,dcs:country/AUT,2008,4.38,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--F,dcs:country/AUT,2009,8.44,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD,dcs:country/AUT,2009,39.87,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS,dcs:country/AUT,2009,8.81,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--F,dcs:country/AUT,2009,36.78,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:SEX--M,dcs:country/AUT,2009,9.1,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD,dcs:country/AUT,2009,7.69,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--M,dcs:country/AUT,2009,7.92,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--M,dcs:country/AUT,2009,42.44,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--F,dcs:country/AUT,2009,7.4,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD+SEX--F,dcs:country/AUT,2010,6.59,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--M,dcs:country/AUT,2010,28.07,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PWD,dcs:country/AUT,2010,7.06,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS,dcs:country/AUT,2010,7.72,dcs:SDG_PT,,dcs:SDG_C_A_G
dcs:sdg/SL_TLF_UEMDIS_19ICLS:DISABILITY_STATUS--PD+SEX--F,dcs:country/AUT,2010,28.86,dcs:SDG_PT,,dcs:SDG_C_A_G
