VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2000,0.00213,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2001,0.0011,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2002,0.00154,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2003,0.0019,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2004,0.00331,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2005,0.00366,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2006,0.00343,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2007,0.00324,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2008,0.00334,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2009,0.00321,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2010,0.00254,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2011,0.00205,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2012,0.00232,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2013,0.00272,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2014,0.003,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2015,0.00345,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2016,0.00372,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2017,0.00408,dcs:SDG_PT,,dcs:SDG_CA_A_G
dcs:sdg/TX_EXP_GBMRCH,dcs:country/AFG,2018,0.00448,dcs:SDG_PT,,dcs:SDG_CA_A_G
