VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/VC_DSR_ESDN,dcs:country/AFG,2017,37,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/AFG,2018,35,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/AFG,2019,40,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2005,48,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2006,4,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2007,4,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2008,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2009,4,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2010,17,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2011,6,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2012,20,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2013,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2014,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2015,13,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2016,2,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2018,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2019,2,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/ALB,2020,2,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2005,12,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2006,9,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2007,10,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2008,26,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2009,11,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2010,28,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2011,17,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2012,39,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2013,6,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2014,12,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2015,9,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2016,14,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2017,17,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2018,17,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2019,15,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/DZA,2020,27,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/AGO,2007,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/AGO,2008,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/AGO,2009,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_ESDN,dcs:country/AGO,2011,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
