VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/VC_DSR_IJILN,dcs:country/AFG,2017,89,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AFG,2018,127,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AFG,2019,418,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2005,11,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2006,3,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2007,2,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2008,3,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2009,3,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2010,1025,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2011,208,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2012,20,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2013,13,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2014,154,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2015,19,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2016,15,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2017,5,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2018,18,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2019,13,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ALB,2020,33,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2005,52,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2006,196,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2007,201,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2008,126,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2009,4,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2010,48,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2011,142,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2012,218,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2013,14,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2014,96,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2015,22,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2016,294,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2017,35,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2018,72,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/DZA,2019,27,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2005,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2006,8,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2007,277,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2008,458,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2009,42,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2010,87,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2011,146,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2012,59,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2013,23,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2014,87,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2015,277,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2016,338,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2017,10923,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2018,89,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2019,450,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/AGO,2020,261,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ATG,2005,210,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ATG,2009,3,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ATG,2010,13,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ATG,2011,2,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ATG,2012,36,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_IJILN,dcs:country/ATG,2013,1252,dcs:SDG_NUMBER,,dcs:SDG_C_G
