VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/VC_DSR_OBDN,dcs:country/AFG,2017,423,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AFG,2018,398,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AFG,2019,498,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2005,2,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2006,2,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2007,12,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2008,31,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2009,5,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2010,6,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2011,28,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2012,51,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2013,6,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2014,22,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2015,40,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2016,9,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2017,26,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2018,65,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2019,69,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/DZA,2020,27,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AGO,2007,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AGO,2008,6,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AGO,2009,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AGO,2011,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AGO,2012,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AGO,2014,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AGO,2015,1,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AGO,2016,5,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AGO,2017,10,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_OBDN,dcs:country/AGO,2018,56,dcs:SDG_NUMBER,,dcs:SDG_C_G
