VARIABLE_CODE,GEOGRAPHY_CODE,TIME_PERIOD,VALUE,UNITS,UNITMULTIPLIER,MEASUREMENT_METHOD
dcs:sdg/VC_DSR_PDAN,dcs:country/AFG,2017,240,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AFG,2018,5559,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2005,8224,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2006,784,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2007,120,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2008,56,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2009,6896,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2010,39852,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2011,200,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2012,1476,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2013,4716,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2014,3752,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2015,1040,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2016,684,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2018,4525,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2019,1384,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ALB,2020,56,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2005,24,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2006,7122,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2007,6930,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2008,30195,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2009,1129,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2010,10539,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2011,2519,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2012,3683,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2013,5487,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2015,840,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2016,259,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2017,3105,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2018,24156,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/DZA,2019,2496,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2005,4997,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2006,4877,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2007,20885,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2008,3216,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2009,9096,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2010,4954,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2011,46070,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2012,7282,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2013,398,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2014,21128,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2015,20837,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2016,15101,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2017,9096,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2018,7637,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2019,349411,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AGO,2020,31464,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ATG,2020,870,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARG,2005,3364,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARG,2006,23696,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARG,2007,54660,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARG,2008,4780,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARG,2009,5736,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARG,2010,50908,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARG,2011,128,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARG,2012,1496,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARG,2013,50000,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARG,2014,17740,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARG,2020,14557,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUS,2011,13519,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUS,2012,880,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUS,2013,7626,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUS,2014,271,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUS,2015,5296,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUS,2016,3487,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUS,2017,11224,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUS,2018,24643,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUS,2019,4990,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUS,2020,10252,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUS,2021,5666,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUT,2018,6598,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUT,2019,11530,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/AUT,2020,9039,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BHR,2021,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BGD,2015,3830609,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BGD,2016,4175033,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BGD,2017,11700887,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BGD,2018,36782,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2005,545,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2006,828,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2007,1430,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2008,614,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2009,832,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2010,4218,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2011,205,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2012,55,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2013,1303,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2014,3755,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2015,1858,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2017,2512,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2018,1313,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2019,631,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2020,2646,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/ARM,2021,1760,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BRB,2018,191,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2005,116,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2006,157,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2007,123,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2008,99,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2009,110,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2010,99,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2011,120,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2012,131,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2013,164,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2014,91,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2015,69,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2017,108,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BTN,2018,113,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2005,4210,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2006,13313,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2007,5282,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2008,15355,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2009,2830,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2010,4515,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2011,8744,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2012,7156,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2013,6303,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2014,5572,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2015,1087,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2016,126,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2017,1916,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2018,13543,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2019,9663,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2020,6308,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BOL,2021,5766,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BWA,2013,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BWA,2014,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BWA,2015,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BWA,2016,0,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BWA,2017,2161,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BWA,2018,2035,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BWA,2019,191,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BRA,2005,195858,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BRA,2006,162242,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BRA,2007,181383,dcs:SDG_NUMBER,,dcs:SDG_C_G
dcs:sdg/VC_DSR_PDAN,dcs:country/BRA,2008,521326,dcs:SDG_NUMBER,,dcs:SDG_C_G
